"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","hb_1","hb_2","hb_3","hb_4","hb_check_5","nat_1","nat_2r","nat_3","nat_4","nat_5","nat_6r","medSkept_1","medSkept_2r","medSkept_3","medSkept_4","medSkept_5r","medSkept_6r","diseaseRare_1","diseaseRare_2","diseaseRare_3r","diseaseRare_4","diseaseRare_5r","diseaseSevere_1","diseaseSevere_2","diseaseSevere_3r","diseaseSevere_4","diseaseSevere_5r","diseaseSevere_6","vaccEff_1","vaccEff_2r","vaccEff_3r","vaccEff_4","vaccDanger_1","vaccDanger_2r","vaccDanger_3","vaccDanger_4r","vaccDanger_check_3","vaccTox_1r","vaccTox_2","vaccTox_3","vaccTox_4r","vaccStrain_1","vaccStrain_2r","vaccStrain_3","vaccStrain_4r","vaccStrain_5","vaccIntent_1r","vaccIntent_2","vaccIntent_3r","vaccIntent_4","vaccIntent_5r","parentExpert_1","parentExpert_2","parentExpert_3","parentExpert_4r","parentExpert_5r","infantImmLimCap_1","infantImmLimCap_2r","infantImmLimCap_3","infantImmLimCap_4","infantImmLimCap_5r","infantImmWeak_1","infantImmWeak_2","infantImmWeak_3","infantImmWeak_4r","infantImmWeak_5r","overpar_1","overpar_2","overpar_3","overpar_4r","overpar_5r","sex","age","educ","comments","workerId","assignmentId","hitId","study_time","payment"
"11","2017-07-14 10:55:00","2017-07-14 10:59:57","0","f11edecbfa42a3a4","100","296","1","2017-07-14 10:59:57","R_UYeAPojk8YCJ0o9","","","","",42.27,-91.01,"anonymous","EN","4","4","4","4","5","5","6","4","3","2","2","1","5","1","4","4","6","1","1","6","3","5","7","7","1","7","1","7","7","1","1","7","1","7","4","7","3","7","3","3","7","1","6","1","6","1","1","7","1","7","1","1","1","1","3","6","6","1","5","7","2","7","6","7","2","1","3","4","3","6","5","0","31","4","","444c230e6ff715f2","35K3O9HUABDBFQ4Q5S6YU30SYOSEF5","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"12","2017-07-14 10:54:46","2017-07-14 11:00:05","0","492d7fee81ad5d70","100","318","1","2017-07-14 11:00:05","R_WDUTnuGusb9I31T","","","","",37.71,-122.13,"anonymous","EN","1","1","1","1","5","5","4","6","4","2","6","5","5","5","2","4","6","1","1","6","1","6","6","6","1","6","1","6","6","2","2","6","2","6","2","6","3","2","2","2","6","2","6","2","4","2","7","7","1","7","1","2","2","2","5","6","3","3","3","3","3","2","6","6","4","2","5","4","6","4","5","1","31","4","","913432564196c926","3GU1KF0O4I1PZ0H0940D5P8BXX2BP5","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"13","2017-07-14 10:54:56","2017-07-14 11:00:07","0","a24cb9fb66e0ff87","100","310","1","2017-07-14 11:00:07","R_28REOXH6uCoD9d6","","","","",28.31,-81.42,"anonymous","EN","6","5","6","6","5","7","5","6","6","4","2","7","1","7","6","2","2","6","6","2","6","2","6","4","2","2","1","6","2","6","4","2","7","1","7","1","3","1","7","7","2","6","2","7","7","7","7","1","7","1","7","5","5","5","2","2","6","2","6","6","6","6","4","5","4","4","6","3","4","6","5","1","43","4","Vaccines contain mercury.. enough said!","d78722642e4b2eb0","3SITXWYCNV9U89JRVVAUZ2UEZWBBXT","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"14","2017-07-14 10:55:03","2017-07-14 11:00:13","0","7f76b5e35dc0f914","100","309","1","2017-07-14 11:00:13","R_268Pto89J1XBefA","","","","",25.78,-80.18,"anonymous","EN","2","2","5","2","5","3","6","2","7","2","7","2","6","2","2","3","6","2","2","6","2","6","7","7","1","7","1","7","7","1","1","7","1","7","1","7","3","7","1","1","7","1","7","1","7","1","1","7","1","7","1","2","6","2","6","6","6","2","6","6","2","5","6","6","2","2","2","4","2","6","6","0","25","4","","48484d615ccf657b","36DSNE9QZ5YDWJ3BIW0FEDMYVXFJOH","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"15","2017-07-14 10:54:48","2017-07-14 11:00:15","0","d3ecdf807ee22fc2","100","327","1","2017-07-14 11:00:15","R_yybRxuxlOD7EGT7","","","","",41.74,-71.32,"anonymous","EN","5","5","5","6","5","7","5","7","5","3","2","5","3","5","3","3","4","3","3","5","3","5","6","5","3","6","3","5","3","6","5","3","4","3","5","4","3","4","3","5","4","5","5","6","3","6","5","4","6","4","4","7","6","5","3","3","6","3","6","6","3","7","6","6","3","3","6","6","5","5","6","1","29","2","","8583e9b6725442a4","3T111IHZ5EQRNKIIOCQ6JED0AFNR93","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"16","2017-07-14 10:54:34","2017-07-14 11:00:17","0","211716b70db0d97c","100","342","1","2017-07-14 11:00:18","R_2ToBTPAGL3IpEu3","","","","",44.99,-92.9,"anonymous","EN","4","5","5","5","5","6","6","3","2","2","3","5","5","3","3","4","5","3","3","5","2","6","6","6","2","6","2","6","6","5","5","6","2","2","2","6","3","6","3","3","5","3","6","2","6","5","6","6","6","6","2","6","3","3","6","6","3","5","5","5","5","5","5","5","4","3","5","6","5","5","5","1","31","4","","ef3f588ac4671c24","3LS2AMNW5FQUI67ODMKOBEYK9S7OQD","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"17","2017-07-14 10:54:50","2017-07-14 11:00:23","0","202122f20fe5eb9c","100","332","1","2017-07-14 11:00:24","R_1oBGAl0PC6RRNLN","","","","",27.59,-82.51,"anonymous","EN","4","4","4","4","5","2","6","4","2","1","3","4","6","4","4","1","5","6","6","5","5","3","6","5","2","4","1","5","5","5","1","6","1","4","1","7","3","7","1","1","7","1","7","2","6","6","1","7","1","7","1","7","1","1","7","7","4","4","4","5","4","7","6","6","4","1","4","7","4","2","4","1","23","3","","7790cf4f19882129","3MHW492WW0DYNBITM5ZLPX8NVK7MVQ","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"18","2017-07-14 10:54:43","2017-07-14 11:00:37","0","91ed6223d77adc90","100","353","1","2017-07-14 11:00:37","R_21BAyEd5SEIQYrV","","","","",37.26,-121.92,"anonymous","EN","3","5","4","5","5","4","4","4","6","2","2","4","4","4","4","2","4","4","4","4","4","4","5","4","4","4","4","4","4","2","4","5","4","1","6","4","3","2","5","5","4","4","4","4","4","4","4","6","4","6","2","5","5","5","4","5","4","4","4","4","4","6","4","6","4","4","5","4","5","4","4","0","44","6","no","3d89b2e672a9e26b","3GA6AFUKOOOSJOFZBYD2EX88NEFH3F","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"19","2017-07-14 10:55:04","2017-07-14 11:00:37","0","44277d17cd57b98b","100","333","1","2017-07-14 11:00:38","R_2VCMgjL2oVOd0LY","","","","",32.24,-110.92,"anonymous","EN","1","1","5","1","5","1","7","6","1","1","7","1","6","1","1","5","7","1","3","5","1","4","6","6","2","5","1","6","7","4","1","7","1","6","1","7","5","7","1","1","7","1","6","1","1","1","1","6","1","6","1","4","1","1","5","6","5","3","4","5","3","6","5","6","1","1","6","6","1","4","5","1","22","3","","a18f97643c663a8d","3QJOXOW4XJRHL0W7RFABPTK1VP4EMC","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"20","2017-07-14 10:54:41","2017-07-14 11:00:42","0","26e2d5e35c732eb8","100","361","1","2017-07-14 11:00:42","R_1kRGlOHE6W71wNV","","","","",28.39,-81.45,"anonymous","EN","5","1","5","4","5","4","6","2","1","2","6","2","7","1","1","2","7","6","5","3","4","2","7","4","4","7","1","6","7","4","1","7","1","7","1","7","3","7","1","1","7","1","7","1","7","1","1","7","1","7","1","2","1","1","6","7","1","4","5","5","4","7","5","6","4","2","5","5","2","5","7","0","24","4","Thank you!","1906ea4fdeadb964","3DIP6YHAPCS20BU3XE0SKBJ6BKFE8O","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"21","2017-07-14 10:54:35","2017-07-14 11:01:07","0","7ab696c8f5eab8a2","100","392","1","2017-07-14 11:01:08","R_UmqUCGZmeu50H6x","","","","",34.27,-119.16,"anonymous","EN","4","2","4","3","5","4","6","3","3","1","4","6","5","5","4","2","5","3","4","5","4","5","6","4","2","5","2","5","5","3","2","4","4","5","4","4","3","5","3","3","5","3","5","4","4","4","3","5","5","4","3","5","5","2","4","6","4","4","4","4","4","5","5","5","3","3","6","5","5","5","6","0","30","4","","caf804a7761988ab","3NS0A6KXC48F4LRHCZQTXY1MN91GZC","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"22","2017-07-14 10:55:10","2017-07-14 11:01:08","0","1a60171fc30f9ff3","100","357","1","2017-07-14 11:01:08","R_1zFUcvZoQl4DZgl","","","","",35.19,-119.22,"anonymous","EN","3","2","4","3","5","1","5","1","1","1","4","6","6","5","2","4","5","1","1","7","1","7","7","6","1","6","7","6","6","4","1","6","1","6","2","6","3","7","1","1","7","1","5","1","5","1","1","7","1","7","1","1","1","1","6","6","4","4","4","4","4","4","5","5","3","4","4","4","4","4","4","1","28","4","","4d306833edaf6713","33FOTY3KEML5SDQ422LIFDWVC2WC19","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"23","2017-07-14 10:54:53","2017-07-14 11:01:15","0","1f91e13e058bf22c","100","381","1","2017-07-14 11:01:16","R_2ya2M7tN8h5Ef1z","","","","",32.77,-96.69,"anonymous","EN","6","4","4","4","5","4","6","4","2","1","4","5","6","2","4","2","7","2","3","6","2","6","6","4","4","6","2","4","6","6","2","6","2","4","4","7","3","6","2","4","4","2","6","2","6","4","2","7","7","7","2","6","3","2","2","4","5","1","5","6","1","6","6","6","1","2","7","7","7","4","2","0","32","4","","0ae3f04856e2efa1","3CPLWGV3MOZ68MQQV59PAU8Q9IY9NX","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
"24","2017-07-14 10:55:08","2017-07-14 11:02:09","0","79b6f87389e27f2f","100","420","1","2017-07-14 11:02:10","R_23VKg7I8u0F09Y7","","","","",38.92,-76.89,"anonymous","EN","7","7","7","7","5","7","6","7","4","6","5","6","6","6","6","4","7","4","3","7","2","5","5","4","3","6","4","5","3","7","6","2","6","2","5","2","3","3","6","6","3","6","5","7","2","6","7","2","7","3","6","7","7","4","4","4","5","3","6","5","3","3","5","5","5","5","5","6","7","5","3","0","31","6","","e9bec9d7eb158c04","304SM51WA34MCSXS1L470UDMKH9BSL","337F8MIIMZDZ40UDN26YUQ6B81J04G","12","1.60"
