"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","hb_hb_1","hb_hb_2","hb_hb_3","hb_hb_4","nat_nat_1","nat_nat_2r","nat_nat_3","nat_nat_4","nat_nat_5","medSkept_medSkept_1","medSkept_medSkept_2r","medSkept_medSkept_3","medSkept_medSkept_4","medSkept_medSkept_5","medSkept_medSkept_6","diseaseRare_diseaseRare_1","diseaseRare_diseaseRare_2","diseaseRare_diseaseRare_3","diseaseRare_check_5","diseaseRare_diseaseRare_4","diseaseSevere_diseaseSevere_1","diseaseSevere_diseaseSevere_2","diseaseSevere_diseaseSevere_3","diseaseSevere_diseaseSevere_4r","diseaseSevere_diseaseSevere_5","diseaseSevere_diseaseSevere_6","vaccEff_vaccEff_1","vaccEff_vaccEff_2r","vaccEff_vaccEff_3r","vaccEff_vaccEff_4","vaccDanger_vaccDanger_1","vaccDanger_vaccDanger_2","vaccDanger_vaccDanger_3","vaccDanger_vaccDanger_4r","vaccTox_vaccTox_1","vaccTox_vaccTox_2","vaccTox_vaccTox_3","vaccTox_vaccTox_4r","vaccStrain_vaccStrain_1","vaccStrain_vaccStrain_2r","vaccStrain_vaccStrain_3","vaccStrain_vaccStrain_4","vaccStrain_vaccStrain_5","vaccIntent_vaccIntent_1r","vaccIntent_vaccIntent_2","vaccIntent_vaccIntent_3r","vaccIntent_vaccIntent_4","vaccIntent_vaccIntent_5r","parentExpert_parentExpert_1","parentExpert_parentExpert_2","parentExpert_parentExpert_3","parentExpert_parentExpert_4r","infantImmLimCap_infantImmLimCap_1","infantImmLimCap_infantImmLimCap_2r","infantImmLimCap_infantImmLimCap_3","infantImmLimCap_infantImmLimCap_4","infantImmLimCap_infantImmLimCap_5","immSympt_immSympt_1","immSympt_immSympt_2r","immSympt_immSympt_3r","immSympt_immSympt_4","immSympt_immSympt_5r","immSympt_immSympt_6","immSympt_immSympt_7r","infantImmWeak_infantImmWeak_1","infantImmWeak_infantImmWeak_2","infantImmWeak_infantImmWeak_3","infantImmWeak_infantImmWeak_4r","overpar_overpar_1r","overpar_overpar_2r","overpar_overpar_3","overpar_overpar_4","overpar_overpar_5","sex","age","educ","comments","workerId","assignmentId","hitId","study_time","payment"
"6/26/17 10:59","6/26/17 11:05","0","1e0e7afafa1edb88","100","376","1","6/26/17 11:05","R_3MEedhpizNhgWtc","","","","",28.15,-80.65,"anonymous","EN","6","6","6","7","7","4","7","6","3","7","3","3","6","5","7","3","4","3","5","3","6","5","2","2","7","7","5","7","6","3","2","6","5","3","6","6","6","3","6","6","6","6","6","5","2","6","2","5","7","7","7","1","6","4","6","5","4","2","5","5","5","5","3","6","7","7","6","6","6","1","6","7","7","1","43","4","It was clear and easy to understand, thank you!","d4faeeec89b43cac","354GIDR5ZB6LRWA6U3OY67BKX6900M","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 11:01","6/26/17 11:05","0","679ab83af9333c76","100","274","1","6/26/17 11:05","R_1gLA7bP6YAhy4Xv","","","","",40.73,-73.71,"anonymous","EN","5","5","6","5","5","6","3","1","1","6","5","3","2","3","3","1","5","3","5","5","7","5","6","2","7","7","7","2","3","6","1","5","5","7","1","1","5","5","5","7","5","3","5","1","7","5","7","1","5","3","1","5","5","3","3","5","5","2","5","7","3","5","3","6","3","5","5","3","5","5","5","5","2","1","22","4","N/A","f7df562750be38b3","3TXMY6UCAEOT9HALNHBXGE43JZ4CQP","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:06","0","50f84de9a6e22696","100","399","1","6/26/17 11:06","R_1itcD7Ld7KgyVH9","","","","",35.83,-77.39,"anonymous","EN","4","5","3","4","1","7","1","1","1","1","7","1","1","4","4","3","7","1","5","7","7","6","7","1","7","5","7","1","1","7","1","1","1","7","1","1","1","6","1","7","1","1","1","1","7","1","7","1","1","1","1","7","1","7","1","1","1","4","3","5","3","5","3","5","3","4","5","5","5","6","1","1","1","1","30","5","","3a9e6637a837d9fb","3KJYX6QCM9B8M3C8J8MT95G6QBRVJF","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:06","0","44be56fd3c82d153","100","407","1","6/26/17 11:06","R_2B5UUjBGcTIO2yq","","","","",30.23,-81.38,"anonymous","EN","7","7","7","7","7","6","5","3","1","7","6","2","5","3","7","1","1","1","5","1","5","3","6","1","7","7","7","1","1","7","1","7","5","7","3","3","5","7","3","6","5","5","6","7","7","7","7","1","7","1","1","5","7","1","7","7","5","7","5","7","7","7","7","1","7","7","7","3","1","2","7","7","1","0","52","4","Vaccines help prevent so I had my kids vaccinated and they are fine.  It's scary about autism and who knows what causes it.  I'm going on the side that it doesn't.  Thank you for using Mturk to do your studies.  Good luck.  ","5edc4659f7c23c57","3X1FV8S5JXRYV1M7B21QCSOQYJAVGB","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 11:04","6/26/17 11:06","0","27871766181e64ee","100","134","1","6/26/17 11:06","R_1rjis5Y8f90NZ8l","","","","",34.1,-117.05,"anonymous","EN","2","6","4","4","5","3","1","4","6","4","5","5","3","3","6","2","4","2","5","3","3","4","4","6","5","6","5","6","4","5","5","5","4","3","4","5","6","5","6","5","5","5","4","6","6","4","6","4","4","3","5","3","4","4","6","2","4","6","4","6","2","6","4","2","4","5","6","3","4","5","4","5","3","0","26","4","","5e2591c76e3f579a","3U4J9857OEB0TUD0DI6W53HQWOC7BF","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 11:01","6/26/17 11:06","0","cf7e6f14be51405a","100","283","1","6/26/17 11:06","R_1osPjZtYOQsxXvc","","","","",30.57,-96.28,"anonymous","EN","1","1","1","1","1","7","1","1","1","1","7","1","1","1","7","1","1","1","5","1","7","1","7","1","7","7","7","1","1","7","1","1","1","7","1","1","1","7","1","7","1","1","1","1","7","1","7","1","1","1","1","7","1","7","1","1","7","1","7","7","1","1","1","1","1","1","1","1","1","1","7","1","1","1","30","4","N/A","2d89db1e6fc9e042","3TS1AR6UQQEQ6BPGIKSSOT8BBM47FX","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:06","0","c61fba81a39eb348","100","460","1","6/26/17 11:06","R_yXcc0Mo7H4Aj6Ap","","","","",30.08,-92.01,"anonymous","EN","3","1","4","1","1","7","2","1","1","5","5","1","2","1","6","2","2","1","5","3","6","6","6","2","6","6","6","2","1","7","1","2","1","6","1","1","1","6","1","6","1","2","2","1","7","1","7","1","2","1","1","6","5","6","5","3","2","2","4","5","2","3","4","5","5","6","5","2","6","2","4","5","5","1","30","2","","3e9c2c037956e0c7","3EG49X351UCO2X2WZ4TMOM8MKGFX6E","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 11:04","6/26/17 11:07","0","fd81c66e14b4b4d3","100","136","1","6/26/17 11:07","R_etWXYXWb4yP0BGx","","","","",37.76,-122.48,"anonymous","EN","5","4","3","4","4","4","3","4","5","3","4","5","3","4","4","3","5","3","5","2","3","4","4","5","4","3","5","2","4","2","5","4","3","5","5","4","3","5","4","4","4","4","3","4","7","5","4","1","3","5","5","4","4","3","5","4","4","4","3","4","4","3","5","4","3","5","4","5","4","4","4","3","4","1","30","4","","a4cc0aadf151b078","3QL2OFSM96I86KXT7PJGCK9YEOHCN2","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:07","0","edc90e0907316e5a","100","472","1","6/26/17 11:07","R_1duc0cwq7aYG1gk","","","","",36.17,-86.78,"anonymous","EN","3","2","2","2","6","3","6","5","4","6","5","2","4","5","6","2","3","2","5","3","5","5","2","2","6","6","2","6","3","4","5","6","4","4","5","5","5","2","4","5","5","4","5","6","5","6","5","5","6","6","5","5","6","3","4","6","3","5","5","5","5","5","3","6","5","5","2","4","5","6","6","6","5","1","30","4","Fun and engaging!","712d036869c6de53","3TPWUS5F891YTE67ZQA383MP70LCWT","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
"6/26/17 10:59","6/26/17 11:07","0","b3507514ef89dbe0","100","474","1","6/26/17 11:07","R_reXr0nEKJNynDxL","","","","",33.75,-84.39,"anonymous","EN","4","4","4","4","4","5","5","3","4","5","5","4","4","4","6","3","3","4","5","4","4","4","5","4","5","4","4","5","4","4","3","5","4","3","5","4","5","3","4","2","4","4","5","4","5","4","5","3","5","4","4","3","4","3","3","3","3","3","5","5","3","5","4","3","6","5","5","4","4","5","5","4","6","0","42","6","No, ","863fa776eb23c2b6","3JNQLM5FT4M5K226YJEVNFWNX242LH","3YLPJ8OXX8D71Q0OQEV534TMHTRX40","12","1.6"
