"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","hb_1","hb_2","hb_3","hb_4","hb_check_5","nat_1","nat_2r","nat_3","nat_4","nat_5r","medSkept_1","medSkept_2r","medSkept_3","medSkept_4","medSkept_5r","diseaseRare_1","diseaseRare_2","diseaseRare_3r","diseaseRare_4","diseaseRare_5r","diseaseSevere_1","diseaseSevere_2","diseaseSevere_3r","diseaseSevere_4","diseaseSevere_5r","vaccEff_1","vaccEff_2r","vaccEff_3r","vaccEff_4","vaccDanger_1","vaccDanger_2r","vaccDanger_3","vaccDanger_4r","vaccDanger_check_3","vaccTox_1r","vaccTox_2","vaccTox_3","vaccTox_4r","vaccStrain_1","vaccStrain_2r","vaccStrain_3","vaccStrain_4r","vaccStrain_5","vaccIntent_1r","vaccIntent_2","vaccIntent_3r","vaccIntent_4","vaccIntent_5r","parentExpert_1","parentExpert_2","parentExpert_3","parentExpert_4r","parentExpert_5r","infantImmLimCap_1","infantImmLimCap_2r","infantImmLimCap_3","infantImmLimCap_4","infantImmLimCap_5r","infantImmWeak_1","infantImmWeak_2","infantImmWeak_3","infantImmWeak_4r","infantImmWeak_5r","overpar_1r","overpar_2","overpar_3","overpar_4","overpar_5r","overpar_6r","sex","age","educ","comments","workerId","assignmentId","hitId","study_time","payment"
"6/30/17 8:02","6/30/17 8:07","0","851009fabf11842f","100","313","1","6/30/17 8:07","R_2wztB5YrQ5zkuzr","","","","",28.01,-82.42,"anonymous","EN","1","2","1","2","5","1","1","4","2","1","1","3","1","1","1","2","1","1","1","3","1","1","2","1","3","1","1","3","1","1","2","1","1","3","1","2","1","3","3","1","1","1","3","1","1","1","2","3","3","1","1","2","1","1","3","1","1","1","1","2","3","1","1","1","1","1","4","1","1","1","23","4","it was fun","745cba8dbef72434","3DL65MZB8DF4CEKGEQGXMXFP068ECR","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:07","0","0325b9d0c4e9b557","100","297","1","6/30/17 8:07","R_UQS0qtmy9SR4MVj","","","","",41.77,-71.47,"anonymous","EN","2","4","4","4","5","2","6","2","2","6","4","6","4","2","4","4","4","6","4","4","6","4","2","6","2","5","4","2","6","2","4","4","6","3","4","2","4","4","4","4","4","4","4","2","6","2","6","2","2","2","2","6","6","5","4","4","4","4","5","5","5","4","4","5","5","5","4","6","6","1","39","4","no","a2eddf497eb919a2","3CTOC39K37Q6BDBC1AJD3R0343D7JC","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:07","0","fc06d4a19256b960","100","347","1","6/30/17 8:07","R_21ET7hahQbF6O5M","","","","",40.43,-79.87,"anonymous","EN","2","3","3","5","5","2","6","3","2","6","2","6","2","2","5","2","2","5","2","6","6","6","2","6","2","6","1","1","7","2","6","2","6","3","6","2","3","5","2","6","2","6","2","1","7","2","7","1","2","2","2","6","6","2","5","3","2","5","2","5","5","3","2","6","2","2","2","6","6","0","38","5","good study","886ccef904d3f829","3U4J9857OEB0TUD0DI6W53HQWY47BR","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:07","0","d06e97e1fd425cbc","100","332","1","6/30/17 8:07","R_XR017R6uxbyyYPn","","","","",33.15,-97.09,"anonymous","EN","3","3","5","2","5","4","2","3","4","5","7","4","5","4","3","3","3","5","2","2","5","4","2","6","3","3","5","3","3","4","4","2","4","3","6","2","4","4","2","4","3","2","4","4","5","4","4","3","3","2","2","3","4","3","4","2","3","4","2","3","5","3","4","6","2","3","3","3","5","1","35","4","","39427680f7db0e3f","3PW9OPU9PQKSUVY259WC30N9Z6R21N","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:08","0","fc2c5c7049251353","100","377","1","6/30/17 8:08","R_eWDcw5AA6t2Cf17","","","","",30.65,-97.58,"anonymous","EN","4","5","6","4","5","7","3","7","6","1","7","1","7","7","1","5","5","4","3","4","5","6","6","4","4","2","7","6","1","6","1","7","2","3","1","6","7","1","7","1","7","1","7","7","1","5","1","7","7","7","6","1","3","5","1","5","7","1","4","5","5","4","4","5","4","3","4","2","5","0","34","6","","622aed4e2c3b5053","3WMINLGALB31M134YLEBQEPYFRACAU","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:08","0","0416b47452db9152","100","399","1","6/30/17 8:08","R_6hTJJB9eg5LMukN","","","","",39.96,-83.81,"anonymous","EN","6","3","3","2","5","1","7","3","1","7","7","3","7","2","1","1","3","7","1","7","7","7","1","7","1","7","1","1","7","1","7","2","7","3","7","1","2","6","3","6","2","5","3","1","7","1","7","1","5","1","1","5","7","3","7","2","2","6","3","2","2","6","7","7","6","5","5","5","7","1","33","3","It's depressing to be reminded that idiots actually think vaccines cause autism and that we have some nobody celebrity to blame for that.","13116946ab7a8382","31T4R4OBOSGJ3Z56RI2RGNN8EJ4C73","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:08","0","dbe1af6a617f1f29","100","399","1","6/30/17 8:08","R_2chDEeq3UkuksSA","","","","",-12.04,-77.03,"anonymous","EN","5","5","5","5","5","5","2","6","7","5","6","2","6","2","1","3","3","5","3","6","5","4","3","4","3","4","4","4","5","6","2","6","3","3","3","5","6","2","6","2","5","3","5","4","4","3","4","4","4","2","3","3","5","4","5","3","3","5","4","1","2","6","7","5","2","5","2","3","5","1","41","4","There is such a thing called the Elite and Agenda 21.","41d23c0331a378e3","38F5OAUN5NCAK7GMDAGSREKORB97H7","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:08","0","36c9b5c3e4b37814","100","397","1","6/30/17 8:08","R_wN74J9n6cpLuVr3","","","","",39.65,-79.94,"anonymous","EN","6","1","4","1","5","7","2","7","7","5","7","5","4","7","1","2","2","7","1","2","7","1","1","7","1","6","2","1","6","1","4","1","6","3","7","1","2","7","4","6","4","4","4","7","7","1","7","1","1","1","1","7","7","4","4","4","6","4","7","6","6","1","1","5","4","6","3","5","5","1","37","4","N/A","8a04af0ad6fdc08e","3VHHR074H3HC63ZC4VVQJ6DV8SI7LE","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:08","0","1e8733a5c8d5677e","100","402","1","6/30/17 8:08","R_3eLUxk0MAafY45X","","","","",34.15,-86.75,"anonymous","EN","4","4","4","4","5","5","4","5","4","4","7","4","7","5","1","4","4","4","4","4","6","6","4","6","2","4","5","6","4","4","1","6","3","3","3","5","6","3","6","4","5","2","6","5","2","7","3","6","5","4","5","2","2","6","3","6","6","3","6","6","6","3","2","4","4","4","4","4","5","0","26","4","","3297d55412a11639","39GAF6DQWR01RMW4TJGN55KKW4K1VU","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:09","0","fa88a5b59123f8a6","100","398","1","6/30/17 8:09","R_AI50isgz5DO5zot","","","","",38.66,-78.45,"anonymous","EN","6","6","7","4","5","6","6","2","3","7","6","7","5","4","1","1","1","6","1","4","7","7","7","7","1","7","1","1","7","1","5","2","7","3","4","4","2","7","5","6","1","4","4","1","1","4","7","1","7","7","6","3","5","5","1","7","7","1","7","6","6","5","4","5","7","7","5","2","2","0","57","3","","111d62f08cd8a9ac","3HWRJOOET52KJV9CBC6X12J7M9UESL","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:09","0","644d043f4c20c653","100","407","1","6/30/17 8:09","R_ub0iuje4piRGkVP","","","","",27.04,-82.35,"anonymous","EN","5","4","4","4","5","4","5","3","2","4","6","3","6","4","2","2","4","6","3","5","6","5","3","5","3","6","3","2","4","4","5","4","6","3","5","5","4","5","3","6","3","5","4","1","7","4","7","1","5","4","5","4","4","4","5","5","4","5","3","3","3","5","5","2","4","4","3","5","5","1","52","2","","f6c6cd8f9db12e55","3JV9LGBJWTE35HDAAQFCH0UI206GO7","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:09","0","07d48984c6840ec9","100","454","1","6/30/17 8:09","R_8oYkKdeNyVSjQIN","","","","",42.7,-84.41,"anonymous","EN","6","4","4","2","5","3","7","2","1","3","6","6","4","3","3","2","6","6","2","6","7","5","4","6","5","7","2","1","7","1","6","2","7","3","7","1","2","7","3","7","1","6","3","1","7","5","7","1","5","3","1","6","7","3","4","4","6","5","7","7","6","3","2","6","7","4","3","5","7","1","23","4","","3d6938e8e17877a5","3J4Q2Z4UTY32NFGQ48BYS8B6BPDWQT","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:09","0","fa7e476828ed8ad9","100","449","1","6/30/17 8:09","R_8qUBnCIyNBi3TEt","","","","",46.14,-122.94,"anonymous","EN","3","2","1","1","5","1","5","1","1","6","2","5","1","1","2","2","2","6","2","2","6","4","1","6","1","6","1","1","6","1","5","4","6","3","4","2","2","6","1","6","1","6","2","1","7","1","7","1","5","3","1","5","6","6","1","6","6","2","7","6","7","1","2","5","6","6","5","2","5","1","22","3","","d9122459c64fd59f","3Q5ZZ9ZEVOF24S1AMD7PGHDTXMO58B","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:09","0","d61b4c8982388204","100","451","1","6/30/17 8:09","R_2tKF7iyK8H7erbG","","","","",37.29,-80.1,"anonymous","EN","3","4","4","5","5","2","4","2","1","4","2","7","1","4","3","1","5","6","5","3","6","4","2","6","1","7","4","2","6","1","5","1","7","3","4","4","3","5","4","5","3","3","4","2","7","3","7","1","5","2","1","4","7","5","4","4","5","4","6","3","5","5","6","5","5","5","2","4","1","0","48","2","no","58996240969f3ab8","3A4TN5196KIGWOBI4RO370C2SM0CH5","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
"6/30/17 8:02","6/30/17 8:10","0","6ebc92c515a1acd5","100","456","1","6/30/17 8:10","R_3FIgDYcG00EJaEp","","","","",38.56,-90.54,"anonymous","EN","1","1","1","1","5","1","7","3","1","7","5","7","5","1","7","1","1","7","3","5","7","7","1","7","1","7","1","1","7","1","3","2","7","3","6","1","1","7","3","7","3","5","3","1","7","1","7","1","3","1","1","7","7","7","3","5","6","1","5","5","5","2","2","5","5","6","5","7","7","1","35","2","None.","7269c5a401e2f3f1","3CFJTT4SXTQAG2R6JSYDRQL3ROO7I0","382GHPVPHSRVLSTA6POHWO4IA2I346","12","1.6"
