"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","interv_t_First.Click","interv_t_Last.Click","interv_t_Page.Submit","interv_t_Click.Count","hb_1","hb_2","hb_3","hb_4","check_5","hb_t_First.Click","hb_t_Last.Click","hb_t_Page.Submit","hb_t_Click.Count","nat_1","nat_2r","nat_3","nat_4","nat_5","nat_6r","nat_t_First.Click","nat_t_Last.Click","nat_t_Page.Submit","nat_t_Click.Count","medSkept_1","medSkept_2r","medSkept_3","medSkept_4","medSkept_5r","medSkept_6r","medSkept_t_First.Click","medSkept_t_Last.Click","medSkept_t_Page.Submit","medSkept_t_Click.Count","diseaseRare_1","diseaseRare_2","diseaseRare_3r","diseaseRare_4","diseaseRare_5r","diseaseRare_t_First.Click","diseaseRare_t_Last.Click","diseaseRare_t_Page.Submit","diseaseRare_t_Click.Count","diseaseSevere_1r","diseaseSevere_2","diseaseSevere_3","diseaseSevere_4r","diseaseSevere_5","diseaseSevere_t_First.Click","diseaseSevere_t_Last.Click","diseaseSevere_t_Page.Submit","diseaseSevere_t_Click.Count","vaccEff_1","vaccEff_2r","vaccEff_3r","vaccEff_4","vaccEff_t_First.Click","vaccEff_t_Last.Click","vaccEff_t_Page.Submit","vaccEff_t_Click.Count","vaccDanger_1","vaccDanger_2r","vaccDanger_3","vaccDanger_4r","check_3","vaccDanger_t_First.Click","vaccDanger_t_Last.Click","vaccDanger_t_Page.Submit","vaccDanger_t_Click.Count","vaccTox_1r","vaccTox_2","vaccTox_3","vaccTox_4r","vaccTox_t_First.Click","vaccTox_t_Last.Click","vaccTox_t_Page.Submit","vaccTox_t_Click.Count","vaccStrain_1","vaccStrain_2r","vaccStrain_3","vaccStrain_4r","vaccStrain_5","vaccStrain_t_First.Click","vaccStrain_t_Last.Click","vaccStrain_t_Page.Submit","vaccStrain_t_Click.Count","vaccIntent_1r","vaccIntent_2","vaccIntent_3r","vaccIntent_4","vaccIntent_5r","vaccIntent_t_First.Click","vaccIntent_t_Last.Click","vaccIntent_t_Page.Submit","vaccIntent_t_Click.Count","parentExpert_1","parentExpert_2","parentExpert_3","parentExpert_4r","parentExpert_5r","parentExpert_t_First.Click","parentExpert_t_Last.Click","parentExpert_t_Page.Submit","parentExpert_t_Click.Count","infantImmLimCap_1","infantImmLimCap_2r","infantImmLimCap_3","infantImmLimCap_4","infantImmLimCap_5r","infantImmLimCap_t_First.Click","infantImmLimCap_t_Last.Click","infantImmLimCap_t_Page.Submit","infantImmLimCap_t_Click.Count","infantImmWeak_1","infantImmWeak_2","infantImmWeak_3","infantImmWeak_4r","infantImmWeak_5r","infantImmWeak_t_First.Click","infantImmWeak_t_Last.Click","infantImmWeak_t_Page.Submit","infantImmWeak_t_Click.Count","overpar_1","overpar_2","overpar_3","overpar_4r","overpar_5r","overpar_t_First.Click","overpar_t_Last.Click","overpar_t_Page.Submit","overpar_t_Click.Count","comments","workerId","assignmentId","hitId","study_time","payment","condition"
"41","2019-06-06 10:17:07","2019-06-06 10:30:20","0","327afa4148275e8e","100","792","1","2019-06-06 10:30:20","R_1ImWdYrihUuMQcN","","","","",33.5,-112.03,"anonymous","EN","","","","","5","1","1","1","5","0","0","19.543","0","4","6","5","2","2","5","24.106","39.247","40.216","7","7","5","3","3","3","6","82.644","82.644","89.428","1","5","7","6","3","5","14.5","37.814","63.305","2","6","7","7","6","7","0","0","33.792","0","6","2","2","5","0","0","60.401","0","1","5","5","7","3","0","0","37.146","0","5","3","3","5","54.722","54.722","61.693","1","5","6","3","5","3","37.397","43.856","44.769","2","7","7","3","6","1","0","0","17.868","0","3","6","6","6","5","0","0","68.788","0","7","5","5","2","3","11.804","11.804","83.997","1","5","4","5","3","5","0","0","18.323","0","7","7","5","7","6","0","0","63.363","0","no","7d172144d6a513ee","3IGI0VL647K9F9UWXUS77K3J92YONN","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"42","2019-06-06 10:25:39","2019-06-06 10:30:32","0","2e9d006de1cfe736","100","292","1","2019-06-06 10:30:32","R_3QE6WhP2Chn04d7","","","","",40.32,-74.43,"anonymous","EN","0","0","92.991","0","4","1","1","1","5","3.238","14.837","15.584","8","5","5","4","1","1","5","1.427","13.879","14.446","6","5","5","5","4","3","5","2.856","15.384","16.086","6","1","1","7","1","5","2.892","10.815","11.556","5","1","7","7","1","7","3.22","8.988","9.823","5","7","2","1","7","1.964","9.969","10.683","4","1","7","1","7","3","2.172","8.788","9.464","5","7","1","1","7","3.549","7.741","8.596","4","1","7","4","7","1","1.488","8.732","9.427","5","1","7","1","7","1","0.922","11.027","11.831","5","1","1","1","7","7","1.943","10.783","11.076","7","4","3","4","5","4","2.939","9.831","10.298","7","6","7","5","5","4","1.67","7.23","7.841","5","1","7","1","4","1","2.183","13.846","14.193","8","","89f797e54a83a704","34QN5IT0TZR39LF9P71DZMH6M4M08O","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"43","2019-06-06 10:20:05","2019-06-06 10:30:48","0","672bd458eb868bc1","100","643","1","2019-06-06 10:30:49","R_12ncET4Pur8ebDa","","","","",37.73,-83.03,"anonymous","EN","0","0","157.964","0","5","2","3","3","5","11.251","31.956","33.239","5","6","5","5","3","1","3","4.129","28.792","30.488","7","3","6","5","2","6","7","6.421","31.662","33.401","6","1","1","7","1","6","8.462","22.353","23.848","5","1","7","7","1","7","4.208","18.849","19.88","5","7","1","1","7","5.511","18.728","19.932","4","1","7","2","7","3","3.303","15.016","16.202","5","7","1","1","7","4.408","19.303","20.396","4","2","6","1","7","1","5.47","28.878","30.125","5","1","7","2","7","1","7.676","20.197","21.514","5","5","2","3","6","7","13.928","42.431","44.09","6","2","5","3","2","4","6.85","31.69","32.741","5","1","3","2","5","6","6.393","25.129","26.174","5","3","5","3","5","3","4.535","37.825","38.966","5","No","e4b9d584180a2936","3Z4AIRP3C6DTVB1ZTYH5TQH9I5YX1T","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"44","2019-06-06 10:23:40","2019-06-06 10:30:51","0","841afbab6d2f8e95","100","431","1","2019-06-06 10:30:52","R_2QM5DuS5yZAddfw","","","","",36.4,-97.86,"anonymous","EN","34.901","41.869","134.064","2","6","5","4","6","5","120.369","122.776","124.107","5","6","4","5","4","6","5","0.99","5.413","6.641","8","4","5","5","3","6","4","0.529","4.281","6.583","7","5","6","4","4","5","0.884","3.443","5.472","5","6","6","6","4","5","2.037","4.4","5.546","5","5","5","6","5","0.538","2.682","3.389","6","5","6","4","5","3","4.709","8.085","10.987","5","4","6","5","3","1.255","3.767","4.367","5","4","6","4","5","5","1.654","3.758","4.755","5","4","6","4","5","5","1.034","5.465","6.589","8","3","6","4","5","4","1.296","5.751","7.805","7","5","6","5","4","4","1.091","2.883","3.911","5","5","6","7","5","6","5.166","8.806","9.891","5","5","5","5","6","4","0.787","4.131","5.287","5","No comments.","72dbf25b5250a111","3BWI6RSP7G9Y0XPKN98M6BNF5LO7ES","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"45","2019-06-06 10:25:14","2019-06-06 10:31:08","0","c730a078e810e89c","100","354","1","2019-06-06 10:31:08","R_2V2VODgHqMZTyOE","","","","",44.97,-93.05,"anonymous","EN","","","","","2","2","5","4","5","7.064","23.91","24.102","6","5","5","5","6","1","2","6.551","27.293","27.991","7","7","2","7","6","1","2","3.553","25.584","26.489","6","2","2","6","2","6","3.2","13.503","14.152","5","1","6","6","1","7","4.233","22.742","23.366","6","4","4","2","6","4.957","11.613","12.453","5","4","4","6","5","3","3.165","11.332","12.078","5","2","4","6","2","4.336","9.815","10.187","5","4","4","4","4","4","2.331","3.899","5.09","6","2","6","2","6","2","5.25","15.585","16.498","6","5","6","2","1","5","10.62","94.936","95.732","5","4","4","4","4","4","2.328","4.616","5.226","5","4","4","4","4","4","3.012","5.099","5.896","6","5","6","5","6","6","4.036","17.532","19.319","5","","cc03a20b7fde5942","31JLPPHS2UU2B51MFB8SY65D4LA3OP","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"46","2019-06-06 10:21:14","2019-06-06 10:31:23","0","d452393ac99fd2d0","100","609","1","2019-06-06 10:31:23","R_sALXeoHunZyfnlD","","","","",33.79,-117.92,"anonymous","EN","4.641","108.943","109.466","8","5","4","4","4","5","5.375","24.108","28.71","6","4","5","4","3","3","4","2.829","24.149","26.151","6","4","5","5","4","3","5","2.382","42.764","44.006","8","3","5","6","4","4","29.737","46.634","47.517","6","4","5","5","3","5","2.649","18.042","19.784","5","5","4","3","5","5.77","19.168","20.195","7","3","3","4","5","3","3.025","38.414","38.913","7","6","2","3","5","10.65","22.29","24.224","4","4","5","4","5","4","3.998","28.663","29.613","5","3","5","4","5","3","3.516","28.15","29.098","7","5","5","4","4","4","4.622","23.087","24.864","7","5","5","4","4","5","7.246","54.727","57.913","7","4","3","3","5","5","2.067","17.105","18.394","6","4","5","6","3","6","2.791","18.096","19.587","6","Interesting study about vaccines ","5c1e9b8c02d35cf7","3VE8AYVF8MXU6PUZSPKY2T4AS698FY","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"47","2019-06-06 10:21:52","2019-06-06 10:31:24","0","b29f3d477b20756b","100","571","1","2019-06-06 10:31:24","R_BssMHgEUM0KZaCd","","","","",31.32,-95.39,"anonymous","EN","","","","","5","5","5","5","5","2.326","21.774","22.845","5","7","6","6","1","1","3","4.929","25.649","26.808","6","6","6","6","2","2","7","11.648","70.08","71.137","7","1","1","6","2","7","8.201","27.736","29.191","5","1","7","7","1","7","3.917","18.685","19.709","5","6","1","1","7","3.852","16.028","17.265","4","1","7","2","7","3","2.894","16.202","17.349","5","7","1","2","7","3.238","16.486","17.419","4","1","6","1","6","1","5.3","22.164","23.321","5","1","7","1","7","1","10.491","21.331","22.441","5","6","6","2","3","6","5.951","23.671","24.661","5","6","2","3","6","2","69.465","126.249","127.287","5","6","7","6","3","6","3.15","20.51","21.971","5","3","6","2","5","7","3.558","27.254","28.115","5","","943d2a221091e8fb","34Q075JO1XDLYLVOQMSYKCUY8YF104","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"48","2019-06-06 10:17:25","2019-06-06 10:31:25","0","8e3e5d3a0907c248","100","839","1","2019-06-06 10:31:25","R_qPcdzttTnOAwBLH","","","","",31.25,-83.65,"anonymous","EN","0","0","230.776","0","5","6","5","6","5","6.67","27.641","32.551","5","4","3","3","3","4","4","3.114","39.058","39.949","7","4","5","5","3","2","5","4.828","34.847","36.035","6","3","3","5","3","5","5.798","27.85","28.782","5","2","5","5","2","5","5.523","20.789","24.138","5","5","4","3","5","13.234","35.737","36.804","5","4","3","3","5","3","9.488","51.692","52.951","5","3","3","4","4","6.311","20.761","21.744","4","5","4","5","3","6","6.85","35.827","37.268","7","3","5","6","5","2","9.088","27.492","28.574","5","6","6","5","4","5","5.789","29.944","31.101","5","5","3","5","5","3","8.313","56.18","59.26","5","5","5","5","3","3","3.648","19.736","21.415","5","5","5","5","3","3","3.978","24.478","25.525","5","Thank you for all the good and relevant information.","eca3fd6bed1b4933","3WR9XG3T63BG8VSRY3W9XPBOSWU74M","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"49","2019-06-06 10:22:39","2019-06-06 10:31:40","0","d6057fce53fcc62f","100","540","1","2019-06-06 10:31:40","R_spuWn6Vfs2ENLmp","","","","",47.38,-122.29,"anonymous","EN","1.038","1.798","292.029","2","5","4","4","4","5","4.071","17.41","24.681","7","4","6","4","6","2","6","2.519","14.049","14.642","7","6","5","2","2","2","6","1.887","17.455","18.346","7","2","2","6","2","5","3.49","15.077","15.87","6","2","6","6","2","6","1.629","7.528","8.285","5","6","2","2","6","2.311","8.213","8.785","4","2","6","2","6","3","1.627","7.477","10.576","5","6","2","2","6","2.118","7.382","8.4","4","2","6","2","6","2","2.88","13.719","14.828","5","2","6","2","6","2","3.485","12.037","13.092","5","4","4","4","5","5","2.151","22.815","23.494","8","2","6","2","2","6","2.52","9.748","10.145","6","3","2","2","6","6","2.127","9.276","10.713","5","4","6","4","3","4","3.136","17.506","18.224","6","","b5564c4dbe0498d4","3TPWUS5F891YTE67ZQA383MTD0JWCP","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"50","2019-06-06 10:24:47","2019-06-06 10:32:28","0","8ff097dd49e99b2e","100","460","1","2019-06-06 10:32:28","R_3j0qFcsVPoksBW7","","","","",41.08,-80.64,"anonymous","EN","","","","","6","5","5","5","5","4.537","19.937","21.578","6","5","5","5","3","2","3","7.695","22.603","23.964","10","5","5","3","6","2","5","49.458","73.542","74.401","7","5","3","3","5","3","7.266","28.133","29.624","5","5","5","5","5","5","4.03","14.941","15.97","7","5","3","1","6","22.753","32.243","32.601","5","1","5","3","6","3","5.274","12.8","14.18","6","5","2","3","5","8.954","16.464","17.68","5","3","5","3","3","4","4.349","31.91","33.297","5","2","6","4","5","1","6.148","14.068","14.8","5","5","4","3","5","5","40.259","56.249","57.286","7","3","5","4","3","5","6.775","17.634","18.661","7","4","3","3","5","5","2.753","8.984","10.09","6","5","5","5","5","6","3.186","14.009","14.3","6","","1e8561208a7d35b8","3TAYZSBPLL8SOFXWISBWZ1AMVWD2SA","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"51","2019-06-06 10:22:23","2019-06-06 10:32:43","0","18439f8cc239cef6","100","619","1","2019-06-06 10:32:44","R_2eVwHZ8VkXgAXZW","","","","",45.52,-122.67,"anonymous","EN","0","0","96.627","0","4","4","5","3","5","11.218","26.668","27.757","5","4","7","5","3","4","5","22.682","37.876","38.203","7","4","7","2","2","4","6","3.992","27.242","28.211","8","1","5","7","1","7","14.157","22.567","23.222","6","1","6","7","2","7","26.813","35.279","35.782","7","7","1","1","7","38.462","46.608","47.287","4","2","7","2","7","3","9.562","17.899","18.674","5","7","1","1","7","26.153","29.763","30.648","4","5","7","1","6","1","4.731","15.955","16.643","7","1","7","1","7","1","25.416","31.585","32.193","5","4","2","3","4","7","10.519","20.512","22.128","5","4","4","4","4","4","16.899","24.571","25.461","5","5","3","3","3","5","8.507","24.221","25.06","7","6","5","3","2","6","4.895","27.017","27.705","6","","bbe73120ce0cfa4f","3018Q3ZVOIQ5S3SNGI46F9OOLIJRAF","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"52","2019-06-06 10:22:03","2019-06-06 10:33:10","0","554ba4ee6a212977","100","666","1","2019-06-06 10:33:10","R_9spPVgZBmtceaY1","","","","",36.4,-97.86,"anonymous","EN","5.287","169.222","170.132","4","4","5","6","3","5","5.287","21.049","24.552","8","6","6","5","4","6","6","1.355","5.636","6.545","7","6","5","5","6","4","6","2.252","4.956","6.383","7","6","4","5","6","5","0.78","5.431","7.043","8","5","4","6","5","6","0.994","3.331","4.53","5","6","4","5","6","1.172","2.476","3.583","4","6","4","5","6","5","8.228","20.891","23.304","7","6","5","6","5","1.526","3.276","4.573","4","4","6","6","4","5","1.299","4.481","4.96","6","7","4","4","5","5","1.433","3.722","5.79","5","6","4","5","5","6","1.831","3.527","4.325","5","5","4","5","6","6","2.593","5.185","6.373","5","5","6","5","5","7","2.394","4.385","5.023","5","5","6","5","6","4","1.594","3.651","4.495","5","Nothing.","140df01fcc00a175","3TVSS0C0E10FFV8ILC5TXDMX1MJTW5","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"53","2019-06-06 10:27:05","2019-06-06 10:33:28","0","e5e677c82012b52f","100","383","1","2019-06-06 10:33:29","R_3MKH6lOx03FoaQY","","","","",9.97,76.23,"anonymous","EN","8.201","8.803","148.685","2","5","6","6","5","5","10.917","15.653","18.933","5","5","6","6","6","5","5","0.635","3.019","3.917","8","6","5","6","6","5","5","1.13","3.37","4.561","7","6","5","6","5","5","1.291","2.747","3.543","5","6","6","5","6","5","4.82","6.261","7.246","5","5","6","6","6","42.852","44.757","45.06","6","5","5","5","6","3","0.861","5.332","5.86","7","5","5","6","6","0.456","1.239","1.834","4","5","7","6","6","6","35.934","38.238","39.109","8","5","5","5","6","5","0.851","1.731","2.6","5","6","5","5","5","6","0.958","2.405","3.089","5","5","6","5","6","5","0.96","3.114","4.198","7","6","6","5","5","5","7.696","8.881","9.892","5","5","5","5","6","6","37.501","38.619","39.232","5","good","351e43ad4f17d468","3UJ1CZ6IZHPKNCGJ0BDUX8DYF62S5Z","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"54","2019-06-06 10:28:04","2019-06-06 10:33:44","0","952288f3e8aad853","100","340","1","2019-06-06 10:33:45","R_2cCN7rwO7ids8Lr","","","","",40.66,-78.24,"anonymous","EN","","","","","5","4","4","4","5","10.287","23.351","24.551","8","7","5","3","2","2","6","6.139","20.611","21.301","7","3","6","3","3","3","5","3.7","24.187","24.649","7","1","5","7","1","5","4.85","19.339","20.178","5","1","7","7","1","7","3.028","12.228","13.167","6","6","2","1","7","12.229","33.973","34.621","5","1","6","1","6","3","3.221","12.39","13.285","5","5","1","3","5","4.958","14.471","15.402","4","3","7","3","5","2","2.354","29.955","30.247","8","1","7","1","7","1","3.533","10.711","12.637","5","7","6","4","3","5","5.032","18.4","19.523","5","3","4","4","4","4","9.229","29.725","30.558","5","6","5","3","5","5","1.475","14.819","15.576","8","5","5","7","3","3","2.329","12.1","13.455","5","","805b9ed8d4c7bb56","3XUHV3NRVKYVX323PH1VTU6W6VOH56","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"55","2019-06-06 10:25:18","2019-06-06 10:33:47","0","584579c93a99a8ee","100","509","1","2019-06-06 10:33:48","R_3J3HosLoir3b2Xe","","","","",33.88,-118.13,"anonymous","EN","","","","","2","1","1","1","5","1.613","14.939","18.45","7","1","6","2","1","1","3","2.059","10.193","12.639","6","1","7","1","1","7","7","3.103","51.572","54.446","6","1","1","6","1","7","134.679","183.296","184.093","7","1","1","7","1","7","1.821","7.73","7.94","9","7","1","1","7","2.142","13.196","13.484","5","1","7","1","7","3","1.234","6.944","8.681","5","7","1","1","7","28.507","32.942","33.453","4","1","7","1","7","1","3.328","11.201","11.897","7","1","7","1","7","1","12.339","17.737","18.903","5","1","1","1","6","7","1.48","7.541","8.418","6","7","1","7","7","1","1.462","6.786","7.345","5","6","7","7","2","1","1.338","19.047","20.286","7","3","6","4","5","5","7.779","29.082","29.909","6","Not that I can think of.","349d376818995256","3JBT3HLQF82LHYKGFIGGR7FITL2PZM","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"56","2019-06-06 10:30:29","2019-06-06 10:34:09","0","a39419c304157477","100","220","1","2019-06-06 10:34:10","R_UMwWxgRxtjE3CNz","","","","",38.54,-91.02,"anonymous","EN","","","","","6","5","7","7","5","7.053","11.052","12.49","5","7","6","7","6","6","7","6.239","10.201","13.749","7","6","5","7","7","6","7","2.671","5.703","11.378","7","7","7","6","7","5","2.504","6.122","8.961","7","6","7","6","7","7","3.313","10.979","12.028","6","5","5","6","7","3.651","16.259","17.413","4","7","6","7","6","3","4.424","10.449","11.63","6","6","5","6","7","4.758","6.604","7.431","4","7","6","7","6","6","4.003","6.906","11.375","6","6","5","7","7","6","2.781","5.389","8.111","6","7","5","6","6","7","4.947","8.904","14.373","7","5","6","7","5","7","1.434","3.688","5.248","5","7","7","5","6","6","3.785","6.626","9.2","6","7","6","7","5","6","1.934","4.395","5.092","5","good survey","992dc3b387e929ad","3JRJSWSMQHLGZEOXLX5WTUBZ0J63EN","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"57","2019-06-06 10:23:49","2019-06-06 10:34:12","0","eb4e7819f7014719","100","622","1","2019-06-06 10:34:12","R_2SIZz7FEI2FBehk","","","","",33.96,-118.31,"anonymous","EN","0","0","95.872","0","5","3","5","3","5","4.722","10.869","11.361","6","2","6","5","3","2","6","14.232","24.467","25.156","6","5","6","5","5","2","6","1.5","10.214","12.578","6","2","3","5","2","5","2.451","10.32","10.973","5","2","6","6","2","6","2.573","7.908","9.329","5","5","3","2","6","18.077","23.042","23.702","4","2","6","2","6","3","1.415","7.228","8.241","5","5","2","2","5","4.486","9.519","10.197","4","2","6","2","5","2","3.7","11.489","12.146","5","3","6","2","6","2","5.041","9.898","10.46","5","3","3","2","6","6","2.95","9.107","10.107","5","6","2","6","6","2","2.096","8.475","9.177","5","5","6","6","2","2","3.069","9.06","9.664","5","3","5","2","2","5","288.1","294.778","295.303","6","","cc235c5d740d5646","3KGTPGBS6XL83SP07X6WE2SAGTXU2H","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"58","2019-06-06 10:30:55","2019-06-06 10:34:33","0","7714bfc50f254bc5","100","217","1","2019-06-06 10:34:33","R_YWC7QGsEtaBL1PH","","","","",33.21,-97.13,"anonymous","EN","","","","","1","1","1","1","5","2.704","10.824","14.487","5","1","7","1","1","1","7","2.263","10.607","11.719","6","1","7","1","1","7","7","1.419","13.003","13.707","6","1","5","7","1","7","3.373","14.861","15.572","5","1","7","7","1","7","2.545","11.545","12.744","6","6","1","1","7","1.726","10.558","11.335","4","1","7","1","7","3","1.814","9.238","9.877","5","7","1","1","7","1.435","8.931","9.683","4","1","7","1","6","1","2.304","13.384","14.161","5","1","7","1","7","1","1.981","11.742","12.598","5","2","2","2","7","7","1.616","11.04","12.152","5","6","1","4","6","1","4.111","13.815","14.616","5","6","6","6","2","2","1.961","9.857","10.792","5","6","5","2","7","7","1.954","11.155","11.987","5","No. Good study. ","f40b2170d7ed3313","3VNL7UK1XFJD49MNVNVTTP0X6JYFTY","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"59","2019-06-06 10:27:03","2019-06-06 10:34:39","0","4a354f771f86d14c","100","456","1","2019-06-06 10:34:40","R_RE2qkdzn7sFvAPv","","","","",34.05,-118.24,"anonymous","EN","","","","","4","3","5","3","5","3.75","10.534","11.269","5","6","6","2","4","6","6","2.018","11.738","13.184","6","3","6","2","2","6","6","2.154","12.73","13.462","6","6","6","6","4","7","2.316","13.276","13.873","6","2","6","6","2","6","2.215","8.111","8.845","5","6","6","2","6","1.852","7.18","7.89","5","2","6","4","6","3","1.452","5.34","6.329","5","2","2","2","5","4.48","19.128","19.886","5","2","4","5","4","2","3.236","10.54","11.21","6","2","6","4","6","2","2.531","10.564","11.488","9","4","4","4","4","4","2.797","4.82","5.89","7","6","4","4","4","4","19.497","22.593","23.27","5","4","4","6","4","4","2.237","5.022","5.747","5","5","5","6","3","6","2.779","18.219","18.714","5","Not at this time.","5859dfbdf9d0f57b","34Z02EIMISDM757XS5C8QIDT0H60TC","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"60","2019-06-06 10:28:33","2019-06-06 10:34:40","0","6ff48653e1b3405f","100","367","1","2019-06-06 10:34:41","R_1IYQvvYm7QhgP2v","","","","",33.72,-116.38,"anonymous","EN","0","0","181.735","0","2","1","3","1","5","1.991","10.297","11.28","7","2","6","1","1","1","5","1.828","12.796","13.334","7","4","7","2","1","3","6","2.17","14.572","15.281","8","1","3","7","1","5","9.321","16.913","17.681","6","1","5","6","1","7","1.685","9.583","10.222","7","7","2","1","7","1.801","8.729","9.614","4","3","7","1","7","3","1.293","6.405","7.166","5","7","1","3","7","2.443","7.885","8.353","5","1","6","1","6","2","2.243","8.263","9.069","5","1","7","1","7","1","1.936","7.386","8.062","6","3","2","1","6","7","1.958","11.304","12.08","6","6","4","2","3","5","1.661","10.045","10.714","6","5","2","2","4","7","1.643","8.409","9.03","6","4","7","1","2","5","1.76","9.536","10.172","6","","6be1a0b3c8353338","3BEFOD78W6TZTYZE29YYG78ENLSM4F","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
"61","2019-06-06 10:30:14","2019-06-06 10:34:47","0","f56eafbd66a624c3","100","273","1","2019-06-06 10:34:47","R_SH8ipNJs1JwbAPL","","","","",40.21,-74.07,"anonymous","EN","","","","","5","4","5","5","5","1.939","11.821","12.496","7","5","5","5","3","4","4","2.689","14.996","16.431","8","5","4","4","5","4","5","4.414","10.136","11.544","6","3","4","5","3","5","5.27","20.125","21.097","7","3","5","5","3","5","1.333","9.552","10.12","6","6","5","2","5","2.881","11.003","11.528","6","4","4","4","5","3","6.25","15.258","16.515","6","4","3","4","4","19.382","24.437","26.529","5","4","5","4","4","4","2.668","4.03","9.896","5","4","5","6","5","3","17.889","28.17","28.909","6","5","5","4","4","4","3.911","11.958","13.452","6","5","5","4","3","5","2.485","10.468","11.835","6","4","3","4","4","3","3.075","9.841","11.529","6","3","4","3","4","5","3.743","14.978","16.067","8","","ebbbc925f768d4ca","3C8HJ7UOP7UFWVN3N2OOA3LNOGSZM1","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"62","2019-06-06 10:31:07","2019-06-06 10:34:50","0","21addd5ca2ca32d8","100","222","1","2019-06-06 10:34:50","R_1f0DdoRUqeH4uWx","","","","",40.4,-111.79,"anonymous","EN","","","","","5","2","3","2","5","12.255","24.92","25.317","7","3","6","3","2","3","1","2.781","13.677","14.723","8","2","5","5","5","3","5","1.775","14.873","16.331","7","2","2","6","3","6","2.235","10.062","10.716","6","2","6","5","2","5","1.231","9.226","9.934","6","6","2","1","6","1.765","11.161","11.999","6","1","6","2","6","3","1.47","7.737","8.797","5","6","1","2","6","2.278","7.809","8.724","5","3","6","2","6","2","2.762","13.633","14.221","6","1","7","2","6","1","1.625","7.768","8.792","6","3","3","2","4","5","1.749","14.911","16.266","7","2","6","2","2","6","1.426","9.917","10.455","6","1","2","2","6","6","1.81","12.486","13.56","6","1","2","2","5","6","1.67","14.311","15.181","6","","1ed2d0fa92cfeac3","3SBEHTYCWN3TVMN761OD43541D7YIW","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","noInterv"
"63","2019-06-06 10:18:47","2019-06-06 10:35:01","0","0c32d83d2be24a7d","100","973","1","2019-06-06 10:35:02","R_30f4offhYcWd3K9","","","","",44.94,-93.25,"anonymous","EN","0","0","120.695","0","3","2","6","5","6","1.666","20.281","21.116","7","2","3","3","1","2","6","4.042","10.745","11.828","8","1","7","1","1","7","7","89.778","103.434","104.092","9","2","6","4","1","6","3.765","8.796","9.366","8","1","7","7","1","7","2.156","14.402","15.313","7","6","4","1","2","5.286","8.382","9.019","4","1","7","2","6","3","4.206","11.526","12.527","10","6","1","3","6","147.212","159.765","160.436","6","1","1","2","2","2","29.674","33.617","34.332","8","1","7","1","7","1","76.347","83.208","83.873","7","5","6","6","2","6","5.347","7.155","7.923","5","1","2","1","1","5","17.235","27.5","28.997","5","1","1","1","1","5","9.243","22.436","23.02","8","2","2","3","2","1","6.825","233.665","234.33","8","","d106565f3d61d215","3YHH42UU5BFYOSZSJWAH4R3C64J0L8","3ZXV7Q5FJBOTW8MIJZV1GV54HOPFC5","12","1.60","intervention"
