StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,interv_t_First.Click,interv_t_Last.Click,interv_t_Page.Submit,interv_t_Click.Count,hb_1,hb_2,hb_3,hb_4,check_5,hb_t_First.Click,hb_t_Last.Click,hb_t_Page.Submit,hb_t_Click.Count,nat_1,nat_2r,nat_3,nat_4,nat_5,nat_6r,nat_t_First.Click,nat_t_Last.Click,nat_t_Page.Submit,nat_t_Click.Count,medSkept_1,medSkept_2r,medSkept_3,medSkept_4,medSkept_5r,medSkept_6r,medSkept_t_First.Click,medSkept_t_Last.Click,medSkept_t_Page.Submit,medSkept_t_Click.Count,diseaseRare_1,diseaseRare_2,diseaseRare_3r,diseaseRare_4,diseaseRare_5r,diseaseRare_t_First.Click,diseaseRare_t_Last.Click,diseaseRare_t_Page.Submit,diseaseRare_t_Click.Count,diseaseSevere_1r,diseaseSevere_2,diseaseSevere_3,diseaseSevere_4r,diseaseSevere_5,diseaseSevere_t_First.Click,diseaseSevere_t_Last.Click,diseaseSevere_t_Page.Submit,diseaseSevere_t_Click.Count,vaccEff_1,vaccEff_2r,vaccEff_3r,vaccEff_4,vaccEff_t_First.Click,vaccEff_t_Last.Click,vaccEff_t_Page.Submit,vaccEff_t_Click.Count,vaccDanger_1,vaccDanger_2r,vaccDanger_3,vaccDanger_4r,check_3,vaccDanger_t_First.Click,vaccDanger_t_Last.Click,vaccDanger_t_Page.Submit,vaccDanger_t_Click.Count,vaccTox_1r,vaccTox_2,vaccTox_3,vaccTox_4r,vaccTox_t_First.Click,vaccTox_t_Last.Click,vaccTox_t_Page.Submit,vaccTox_t_Click.Count,vaccStrain_1,vaccStrain_2r,vaccStrain_3,vaccStrain_4r,vaccStrain_5,vaccStrain_t_First.Click,vaccStrain_t_Last.Click,vaccStrain_t_Page.Submit,vaccStrain_t_Click.Count,vaccIntent_1r,vaccIntent_2,vaccIntent_3r,vaccIntent_4,vaccIntent_5r,vaccIntent_t_First.Click,vaccIntent_t_Last.Click,vaccIntent_t_Page.Submit,vaccIntent_t_Click.Count,parentExpert_1,parentExpert_2,parentExpert_3,parentExpert_4r,parentExpert_5r,parentExpert_t_First.Click,parentExpert_t_Last.Click,parentExpert_t_Page.Submit,parentExpert_t_Click.Count,infantImmLimCap_1,infantImmLimCap_2r,infantImmLimCap_3,infantImmLimCap_4,infantImmLimCap_5r,infantImmLimCap_t_First.Click,infantImmLimCap_t_Last.Click,infantImmLimCap_t_Page.Submit,infantImmLimCap_t_Click.Count,infantImmWeak_1,infantImmWeak_2,infantImmWeak_3,infantImmWeak_4r,infantImmWeak_5r,infantImmWeak_t_First.Click,infantImmWeak_t_Last.Click,infantImmWeak_t_Page.Submit,infantImmWeak_t_Click.Count,overpar_1,overpar_2,overpar_3,overpar_4r,overpar_5r,overpar_t_First.Click,overpar_t_Last.Click,overpar_t_Page.Submit,overpar_t_Click.Count,comments,workerId,assignmentId,hitId,study_time,payment,condition
4/4/19 10:00,4/4/19 10:08,0,f027c214ef23f10b,100,466,1,4/4/19 10:08,R_3HFqF4v5dQEi0Ol,,,,,,,anonymous,EN,14.295,110.889,127.33,4,6,5,5,4,5,6.691,24.752,25.664,11,5,4,5,4,4,2,3.168,18.606,19.535,13,5,5,5,5,2,4,3.163,22.335,23.949,15,3,4,6,3,5,4.842,21.666,22.609,11,3,6,5,3,5,2.468,12.869,13.595,11,5,4,4,6,6.152,15.524,16.79,8,4,5,4,5,3,2.278,11.777,12.58,11,5,1,3,6,9.057,21.941,24.437,10,5,6,4,4,4,2.163,14.177,15.033,11,3,6,4,6,2,1.587,16.404,17.959,11,4,4,3,4,5,2.471,22.436,23.301,11,5,5,4,5,4,2.863,18.316,19.168,11,4,5,6,4,3,6.366,17.949,18.886,11,5,5,5,4,4,2.152,14.904,15.769,11,no,ca40ad435ee0b830,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:00,4/4/19 10:08,0,8dbd005148123217,100,514,1,4/4/19 10:08,R_1Lo0pLtz1pp8VLG,,,,,,,anonymous,EN,14.354,100.958,102.844,4,5,4,5,3,5,1.926,27.181,27.923,6,4,4,4,4,2,3,5.033,21.017,22.855,6,4,6,4,2,4,6,3.438,36.589,39.219,12,3,4,4,3,5,5.849,28.785,29.59,7,3,6,6,2,6,2.702,19.606,20.356,6,7,2,1,7,4.225,13.616,14.446,4,1,6,1,6,3,6.902,16.222,17.051,5,1,1,1,7,3.034,11.137,11.585,4,1,6,1,6,1,3.108,21.436,22.738,5,1,7,3,7,1,4.25,14.304,15.005,6,2,1,1,6,6,6.139,25.018,25.392,9,6,4,5,4,4,8.237,26.173,26.475,9,5,4,4,4,4,53.081,65.809,66.846,7,4,5,5,4,5,2.567,17.568,18.726,6,,db89a8516e61a3c4,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 9:56,4/4/19 10:08,0,2479db67c6be3bb3,100,736,1,4/4/19 10:08,R_3KIorL4ibbEFHqa,,,,,,,anonymous,EN,43.044,124.419,137.921,3,5,3,5,4,5,5.671,32.223,36.926,5,3,5,5,5,4,1,6.35,36.07,37.796,6,6,3,5,4,3,5,11.488,45.016,51.062,7,2,2,1,3,5,8.798,29.463,30.949,5,2,6,6,2,5,8.227,37.611,40.174,9,6,2,1,6,3.534,25.374,27.955,5,2,5,4,6,3,6.015,21.207,23.069,5,5,2,5,4,10.509,29.006,53.972,4,4,7,3,4,4,7.095,34.799,37.172,9,2,7,3,6,1,4.836,20.716,21.793,5,4,5,4,5,5,10.44,37.831,38.74,6,3,6,3,3,5,4.779,42.394,47.023,10,3,2,3,5,6,1.944,20.808,21.702,7,3,4,2,5,5,6.423,23.063,23.901,5,,7232f81c9ee33e56,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 10:02,4/4/19 10:08,0,9dd657314bb32839,100,359,1,4/4/19 10:08,R_1Dvaswnd6PqeQw0,,,,,,,anonymous,EN,0,0,108.373,0,5,4,4,4,5,3.994,17.926,18.656,5,2,6,3,2,1,5,1.897,12.794,13.655,6,3,6,2,2,3,6,2.784,24.638,25.507,6,1,2,7,1,7,2.624,10.221,11.109,5,1,7,7,1,7,2.669,8.084,8.933,5,6,2,1,7,2.92,10.906,11.753,4,1,6,2,6,3,1.441,7.71,8.625,5,7,1,2,7,3.226,7.807,8.421,4,2,6,1,5,2,4.374,14.906,15.834,5,1,7,1,7,1,1.294,9.295,9.978,5,6,6,5,5,6,4.442,15.862,16.522,6,5,3,3,5,3,3.368,15.154,15.927,5,7,7,7,5,2,2.924,8.966,9.98,5,6,6,7,2,2,3.636,10.582,11.475,5,,e4fe1dd1ed9dbb38,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 9:56,4/4/19 10:08,0,315680780cc3411a,100,742,1,4/4/19 10:08,R_DoXX3d2R9iEo4Fz,,,,,,,anonymous,EN,0,0,191.771,0,7,7,7,6,5,5.101,26.237,27.063,5,7,4,4,4,4,2,3.792,29.616,30.651,6,7,4,4,5,2,7,7.526,43.774,44.818,8,3,3,5,4,7,8.885,29.006,30.218,5,7,3,6,7,4,5.228,28.069,29.262,6,5,7,3,3,36.801,55.72,56.781,5,4,2,5,5,3,3.185,18.593,19.611,5,4,3,5,4,5.907,16.994,18.164,4,4,5,3,5,6,8.344,27.062,28.148,5,5,5,7,4,2,5.157,18.917,20.897,5,7,6,6,4,6,9.422,25.894,26.711,6,6,7,7,6,7,6.877,30.635,31.407,6,2,4,3,7,7,3.877,25.117,25.984,5,5,7,7,7,7,5.323,22.497,23.697,5,Thank you for the opportunity to do this survey. ,8463c30232cf09d5,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 9:54,4/4/19 10:08,0,c153b57efb9dd2ad,100,889,1,4/4/19 10:08,R_BWYmxIGipd33he1,,,,,,,anonymous,EN,0,0,101.348,0,5,4,6,6,5,27.439,29.571,29.87,7,3,6,1,1,1,6,1.54,12.964,14.101,10,4,6,5,5,5,5,2.072,6.519,7.389,9,3,4,3,4,3,0.547,1.779,2.495,6,1,5,5,1,5,2.28,8.369,9.428,13,6,6,1,6,1.821,7.758,8.851,6,5,6,5,5,3,25.267,28.74,29.232,10,1,1,1,6,84.306,89.482,90.111,8,1,6,1,5,2,104.222,109.591,110.254,5,5,4,5,1,1,133.569,142.088,143.034,8,3,4,2,2,2,0.459,1.94,2.648,5,5,4,5,5,5,0.635,1.842,2.463,5,2,3,4,3,3,0.448,2.112,2.677,6,3,4,4,4,3,2.757,86.14,86.906,6,,34851c856710d136,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 9:57,4/4/19 10:09,0,18395e3f7fbbfa5b,100,696,1,4/4/19 10:09,R_PG0oOZXxieMyA6J,,,,,,,anonymous,EN,0,0,154.897,0,4,1,1,1,5,13.52,30.6,32.24,5,4,5,4,2,4,3,4.816,37.608,39.443,9,6,6,4,4,2,6,10.8,45.164,46.352,7,1,1,7,1,5,6,34.878,40.14,7,2,7,7,1,7,2.854,17.929,20.648,5,6,2,2,7,4.336,18.236,20.674,4,1,5,2,6,3,3.218,19.133,20.329,7,6,2,4,6,5.106,19.311,20.377,5,3,6,3,5,4,5.378,61.575,64.367,7,1,7,4,7,1,2.717,18.679,20.292,5,5,5,2,4,6,16.062,39.842,41.014,6,6,6,2,4,5,27.222,49.156,50.405,6,6,6,4,4,5,4.419,20.279,21.659,5,6,5,6,5,6,9.01,25.128,26.307,5,,a9e40e297f4e7ac9,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 9:58,4/4/19 10:09,0,56b45ae9960d967e,100,638,1,4/4/19 10:09,R_bf5qnPn9FneRnot,,,,,,,anonymous,EN,3.129,179.75,183.301,7,5,5,4,4,5,2.266,31.601,32.385,5,4,5,5,4,4,4,7.856,23.678,24.35,6,4,4,4,4,3,4,2.236,29.967,30.788,10,3,4,5,4,4,6.383,17.885,18.527,5,4,5,4,3,5,4.208,29.028,29.753,16,4,4,3,4,2.499,10.644,11.242,4,4,4,4,5,5,3.367,15.396,15.952,6,4,3,4,5,43.242,50.588,51.625,6,4,5,4,4,5,10.674,27.184,27.811,7,4,4,4,4,4,3.073,8.952,9.621,5,4,4,4,4,4,4.19,18.446,19.04,5,4,4,4,4,4,6.998,42.302,47.474,5,4,5,4,4,4,2.688,9.99,10.741,5,4,4,3,4,4,41.853,54.266,56.646,6,,49542fb35ab9c78b,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 10:02,4/4/19 10:09,0,2c3714427ef6772d,100,400,1,4/4/19 10:09,R_1FFH73xrP3MroE6,,,,,,,anonymous,EN,28.879,57.363,96.306,3,2,2,3,2,5,8.094,21.744,22.85,10,3,6,1,2,1,6,2.196,19.557,20.353,11,3,6,3,2,4,7,4.72,19.479,20.388,7,1,1,6,2,6,5.061,17.406,18.309,6,1,7,7,1,7,2.011,8.989,10.944,5,6,1,1,7,2.531,9.773,11.223,4,1,7,2,7,3,2.256,8.178,9.495,5,7,1,1,7,3.686,8.779,12.306,4,1,7,1,7,1,3.114,10.856,11.828,5,1,7,4,7,1,2.424,12.174,13.219,6,3,2,2,6,6,3.179,18.493,20.093,7,7,2,6,5,2,3.111,17.479,18.624,8,5,6,6,2,2,3.093,10.061,11.112,5,5,5,4,5,4,4.17,15.546,16.495,7,"Interesting study, I hope some of the anti-vaccination people will read this and change their minds.",621c8d8069bd6d94,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:01,4/4/19 10:09,0,ac667651869616a8,100,461,1,4/4/19 10:09,R_ZaDKDT8GeANL9M5,,,,,,,anonymous,EN,0,0,104.483,0,1,1,1,1,5,2.805,10.261,14.879,5,1,7,1,1,1,7,3.164,17.868,19.454,7,5,6,2,1,5,7,4.592,26.527,29.028,7,1,1,7,1,6,2.697,13.497,17.751,5,1,7,7,1,7,2.571,12.42,15.622,6,7,1,1,7,6.339,16.012,18.086,5,1,7,1,7,3,1.999,10.912,12.837,5,7,1,1,7,2.239,8.19,10.269,4,1,7,1,7,1,5.336,19.92,21.811,6,1,7,1,7,1,3.261,16.269,19.044,6,2,1,1,7,7,3.516,21.076,26.56,7,6,2,5,6,2,10.081,36.44,37.8,7,5,6,6,2,2,3.1,21.303,22.688,6,4,4,4,3,5,3.873,24.338,30.725,5,,6eaff126c8ff14c3,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 10:01,4/4/19 10:09,0,2e3362b9612ce6ab,100,489,1,4/4/19 10:09,R_10OUBX2pNYKrQUI,,,,,,,anonymous,EN,0,0,124.366,0,5,2,4,2,5,2.449,23.586,24.558,5,3,6,4,2,4,3,3.747,25.179,26.072,7,3,6,3,2,4,7,3.7,35.755,36.672,7,1,2,4,2,4,4.479,23.127,23.876,5,2,7,6,1,6,3.01,16.476,17.449,5,7,2,2,7,5.865,19.545,19.958,5,1,6,2,7,3,4.074,20.282,21.111,7,6,1,1,6,3.612,15.204,15.865,5,2,6,2,6,2,4.147,19.267,19.855,5,7,7,2,7,1,5.204,16.869,17.906,5,4,3,2,6,6,4.592,20.376,21.245,5,4,5,2,3,5,3.738,21.25,21.919,5,3,5,4,4,4,2.817,22.385,23.269,6,3,4,2,6,7,5.937,22.257,23.014,5,No.,db4b41875f1542e9,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:01,4/4/19 10:09,0,917fc0f74a624680,100,486,1,4/4/19 10:09,R_es8iaULhnehdrEt,,,,,,,anonymous,EN,69.291,69.291,148.356,1,7,5,6,6,5,1.493,15.601,30.634,6,6,6,7,5,6,5,2.391,6.604,15.766,7,7,6,6,6,6,7,2.217,5.837,10.145,6,6,6,5,6,7,2.07,5.549,11.978,5,7,6,6,7,5,1.772,4.972,9.041,5,5,7,7,7,2.359,5.438,38.012,5,5,4,7,5,3,1.62,18.667,24.92,7,6,6,5,6,2.229,3.692,8.344,4,7,7,6,5,5,2.203,5.915,16.161,7,6,5,5,6,7,2.58,4.101,5.882,6,7,6,6,5,5,1.957,3.751,9.156,5,6,7,7,6,6,2.226,6.186,10.055,5,7,6,6,7,5,2.509,6.526,8.947,6,7,6,5,7,7,2.794,4.168,7.322,5,good,2dcb553098730a66,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:02,4/4/19 10:09,0,94e2445cdc507c62,100,393,1,4/4/19 10:09,R_2Ce5sLmYeT3OR2P,,,,,,,anonymous,EN,50.9,50.9,139.074,1,4,2,4,2,5,2.021,14.962,19.033,8,6,4,4,3,4,4,2.858,15.86,17.643,7,5,4,4,4,2,5,1.748,12.828,13.735,7,3,3,6,3,4,2.079,12.236,14.352,7,1,6,6,1,6,2.561,10.879,11.737,7,5,4,2,6,1.794,11.832,13.993,4,1,4,3,6,3,2.601,9.652,11.981,5,6,2,2,6,1.483,7.251,8.094,4,3,5,4,5,4,1.588,12.193,14.503,7,1,7,4,7,1,1.649,10.539,12.908,5,4,4,4,4,4,1.949,10.486,14.751,7,5,5,4,3,5,2.447,11.577,12.458,5,5,4,4,4,5,5.503,13.449,14.304,6,4,5,2,6,7,1.838,11.307,12.068,7,N/A,14dc897ad9ade8ed,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:02,4/4/19 10:09,0,697bd74ff5bc1079,100,403,1,4/4/19 10:09,R_PtGcw94ask7DhPb,,,,,,,anonymous,EN,0,0,101.438,0,4,6,5,5,5,3.561,17.03,19.113,6,4,5,4,3,2,5,4.187,18.38,19.684,6,6,6,4,4,2,6,2.904,15.689,16.678,6,2,2,5,2,6,2.217,13.365,14.478,6,2,6,6,2,6,5.902,12.679,14.019,5,6,2,2,6,5.021,11.44,12.53,4,2,4,2,5,3,4.171,13.736,17.402,5,5,2,4,4,3.513,18.601,20.282,6,3,4,4,3,5,4.202,17.298,18.254,5,2,7,5,7,2,2.388,22.464,24.37,8,6,5,6,3,5,3.396,18.346,19.393,6,6,3,5,6,2,1.872,15.196,16.125,9,7,5,5,3,3,3.851,14.037,14.959,6,6,6,5,3,3,1.937,15.722,16.572,6,,62dbd8751448b020,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 9:54,4/4/19 10:09,0,54d68b9aac5c6c09,100,916,1,4/4/19 10:09,R_DuRPKEO58lf2xxv,,,,,,,anonymous,EN,2.232,2.232,259.251,1,6,4,5,6,5,9.552,29.266,30.301,5,3,5,5,5,4,2,1.499,12.343,13.614,8,1,5,2,5,4,6,2.353,22.027,22.835,8,1,5,7,1,5,3.229,16.762,17.83,5,1,7,7,1,7,2.513,12.055,12.615,6,7,3,1,6,0.6,9.449,10.012,7,1,7,1,7,3,2.521,10.825,11.412,5,6,1,1,5,62.922,68.873,69.425,5,1,5,1,1,1,1.554,10.68,13.321,5,1,7,1,7,1,0.451,13.644,14.518,8,3,3,1,5,5,122.458,134.343,134.968,8,6,3,5,5,2,11.289,24.386,24.973,5,6,6,5,5,5,22.144,32.092,34.562,5,6,5,7,5,3,2.532,11.749,12.841,5,,68c4944e36f02624,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:05,4/4/19 10:09,0,a7b972c1024e1d93,100,259,1,4/4/19 10:09,R_aaZtOe5nSC6J3xv,,,,,,,anonymous,EN,0,0,123.963,0,4,3,4,5,5,6.246,11.366,11.923,6,4,6,3,5,3,5,0.945,2.778,4.007,6,4,5,6,3,4,3,1.952,4.44,6.021,6,3,4,5,6,5,1.065,2.449,3.398,5,5,4,5,4,3,0.841,19.353,19.75,6,5,6,4,3,1.028,2.292,3.171,4,5,5,6,3,3,1.546,6.994,7.735,5,4,5,3,6,1.09,2.154,6.471,4,4,5,3,4,5,0.603,2.179,3.464,5,5,4,3,6,5,2.969,4.389,5.433,5,5,4,6,3,5,0.571,2.395,3.281,5,3,5,4,5,3,0.887,3.023,3.787,5,4,6,5,4,5,1.171,2.86,4.647,5,4,5,6,5,3,1.067,3.115,4.775,5,awesome ,dd7af2deea49208a,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:03,4/4/19 10:09,0,dab7570bb00dbfff,100,385,1,4/4/19 10:09,R_2BaqindxUdAdlOU,,,,,,,anonymous,EN,0,0,116.131,0,4,2,2,2,5,2.219,27.522,29.1,7,4,6,4,4,2,4,2.015,13.071,13.334,7,7,2,6,5,2,6,5.771,19.22,19.446,8,4,4,6,4,4,4.704,16.537,17.336,7,2,6,6,2,6,2.722,8.385,10.92,5,4,4,4,6,3.799,11.904,12.42,6,2,6,2,6,3,2.549,11.589,12.125,7,6,1,2,7,1.66,10.339,10.787,4,2,6,2,6,2,4.285,14.485,15.063,5,7,7,2,7,1,2.202,9.916,10.58,5,2,1,1,4,7,2.328,12.401,12.694,6,6,6,2,2,6,2.816,12.696,13.53,6,4,2,6,6,6,1.634,11.432,11.956,6,4,6,6,6,6,2.501,12.901,13.265,7,,bfa7be4a441e001c,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:03,4/4/19 10:10,0,4008f106697b8ebd,100,379,1,4/4/19 10:10,R_3hutUGjjGu8a2Ta,,,,,,,anonymous,EN,0,0,93.575,0,3,3,4,4,5,2.297,14.654,20.464,5,2,6,4,2,2,2,2.056,23.551,24.146,8,2,6,3,6,3,6,3.172,30.315,30.951,8,3,5,4,2,5,2.289,17.229,18.061,6,1,7,7,1,7,2.514,11.51,11.899,6,7,1,1,7,3.727,15.279,15.916,4,1,4,4,7,3,2.098,15.374,16.153,6,6,1,5,5,2.286,10.66,13.995,4,1,4,1,3,3,3.548,16.739,17.627,6,1,7,2,7,1,3.7,12.455,13.287,5,2,1,1,7,7,3.471,14.563,15.639,5,5,3,5,6,3,3.362,11.003,11.834,5,5,6,6,4,4,2.483,14.324,15.034,6,5,5,5,5,6,2.598,12.167,13.575,5,No and thank you.  ,09f9ee2c79b32c84,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:02,4/4/19 10:10,0,8efc8d2a62335742,100,422,1,4/4/19 10:10,R_2wbD2YVq1WQ5NvY,,,,,,,anonymous,EN,1.713,91.541,130.018,6,5,5,5,5,5,1.721,15.205,16.367,6,3,7,3,2,1,5,2.079,17.92,19.353,6,3,6,2,3,4,6,6.312,30.943,31.561,8,2,3,6,5,6,3.957,17.194,18.038,6,1,7,7,1,7,2.228,9.934,10.693,5,7,1,1,7,4.638,13.487,13.991,5,1,6,3,7,3,2.252,13.445,14.158,5,7,1,2,7,2.446,15.473,16.117,6,2,7,3,5,3,6.434,20.714,21.144,7,1,7,2,7,1,2.625,12.131,12.8,5,3,2,2,5,6,4.266,17.486,18.113,7,7,5,6,6,3,3.029,13.429,14.184,5,7,6,7,3,3,2.507,12.672,13.359,6,6,5,3,6,6,2.063,12.562,13.118,5,No comments.,285e6c69f598e96e,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:00,4/4/19 10:10,0,5a352bb5dcf9f5d3,100,590,1,4/4/19 10:10,R_AcXesjx97nUkZln,,,,,,,anonymous,EN,0,0,156.75,0,4,3,2,2,5,4.282,23.34,24.735,6,1,7,1,1,1,7,2.55,17.08,17.863,6,6,7,1,1,6,7,4.385,27.125,28.047,7,1,3,6,5,5,4.444,20.558,22.049,5,1,7,7,1,7,3.312,12.466,13.542,5,7,1,1,7,4.144,11.345,12.661,4,1,7,1,7,3,2.416,11.623,12.519,5,7,1,1,7,2.172,10.638,11.801,4,1,6,1,7,1,9.19,22.426,24.252,6,1,7,1,7,1,3.325,12.948,13.728,5,1,1,1,7,7,8.577,19.671,21.055,5,1,7,2,2,7,4.355,15.357,18.346,5,2,2,2,6,6,3.066,24.784,26.025,6,3,3,3,5,6,3.207,17.095,17.79,5,,07ddce063fe81c18,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 9:56,4/4/19 10:10,0,580f6eacac630fe0,100,832,1,4/4/19 10:10,R_2tnzmGmTVD8rWzr,,,,,,,anonymous,EN,0,0,247.662,0,2,1,1,1,5,3.796,30.032,32.737,5,5,2,5,2,2,2,3.343,32.987,33.938,9,5,5,5,1,6,6,5.467,40.364,42.428,8,1,1,7,2,1,2.632,21.724,23.057,6,1,7,7,1,7,7.408,20.717,23.636,5,6,1,1,6,5.371,14.585,16.458,4,1,6,2,6,3,1.716,12.819,14.984,5,6,2,2,6,2.322,13.436,15.624,5,2,6,2,5,2,4.103,24.139,25.021,6,1,7,2,7,1,3.356,14.077,16.05,5,2,2,2,6,6,7.147,21.862,23.161,6,6,2,2,4,4,5.199,26.912,29.753,7,5,4,4,5,5,5.173,22.87,27.568,7,6,6,6,2,2,3.273,19.192,20.332,5,Reading that essay confirmed what I had always thought about vaccines. I know now how to talk about vaccines with people who are against them. Maybe i can save at least one child who will not contact a dangerous disease unnecessarily.,d2a3ea589c2ea944,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 10:01,4/4/19 10:10,0,1d0eda5cfce60cb9,100,508,1,4/4/19 10:10,R_1QopVL8PjrJ9sgI,,,,,,,anonymous,EN,27.607,27.607,92.427,1,5,5,6,5,5,8.918,25.145,26.197,5,5,5,6,4,4,2,3.364,24.943,25.898,6,6,5,6,6,2,4,4.438,40.729,41.917,6,1,1,3,1,6,4.018,20.789,21.705,6,3,5,6,2,5,4.16,17.444,18.554,5,6,3,3,5,5.62,25.212,26.453,4,5,3,3,5,3,3.301,17.586,18.546,5,3,3,5,3,4.68,20.606,21.879,4,3,3,5,3,5,5.592,28.282,29.641,6,5,5,7,5,3,4.059,18.963,19.972,5,6,5,5,5,6,4.701,27.261,28.378,5,6,5,2,5,3,6.595,24.175,25.277,5,5,3,3,5,5,4.778,17.39,18.446,5,3,5,2,5,4,6.335,33.097,34.114,5,"Very interesting, on a hot topic!",b154f7fa6a0e131f,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:04,4/4/19 10:10,0,d05771523184da2a,100,334,1,4/4/19 10:10,R_3D7HIMHBV6hs8Jq,,,,,,,anonymous,EN,23.584,90.329,91.024,10,5,4,6,1,5,4.468,17.55,18.221,6,3,7,3,5,4,5,1.604,12.053,12.462,7,5,5,5,2,6,5,2.774,19.32,20.093,8,5,5,6,5,5,2.82,8.122,8.562,7,1,6,5,2,7,2.313,10.331,11.302,5,5,3,1,6,3.467,12.351,13.04,4,1,7,2,6,3,3.066,9.871,10.769,5,4,1,3,5,3.19,10.72,11.555,5,1,5,4,3,2,2.707,16.307,17.285,5,1,7,1,7,1,2.141,9.057,9.857,5,4,5,5,6,7,6.88,17.07,17.777,5,5,6,3,6,6,3.129,8.77,11.724,5,6,6,5,5,4,2.989,11.422,11.997,5,5,5,6,5,7,2.369,10.501,11.34,5,I would look forward to seeing the results from the study.,5f51137ab21cf19e,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
4/4/19 10:02,4/4/19 10:10,0,5eba23d71c3901a9,100,496,1,4/4/19 10:10,R_3ls4foNIrcQmTHW,,,,,,,anonymous,EN,86.027,129.526,145.474,4,7,7,7,7,5,2.596,12.581,14.583,7,7,5,7,3,1,3,2.495,33.551,34.573,7,5,5,5,3,3,5,3.282,21.711,22.574,8,3,3,5,3,7,3.434,15.279,16.333,6,1,7,7,1,7,3.21,11.405,13.554,7,2,5,5,5,3.169,22.447,23.64,4,1,3,4,7,3,4.401,14.906,15.998,6,7,1,3,7,3.657,11.707,12.739,4,5,5,3,5,6,4.567,23.525,25.407,6,1,7,7,7,1,2.274,14.07,15.175,6,5,3,1,7,7,6.556,20.162,20.739,7,5,3,5,5,3,2.209,14.461,15.17,5,7,5,5,7,3,7.605,16.762,17.756,5,7,7,3,7,7,2.405,20.851,21.468,6,,c0a741c482e201df,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,intervention
4/4/19 10:01,4/4/19 10:10,0,1c18c7a4ba5a4f6e,100,555,1,4/4/19 10:10,R_3nCykk0WZC8GDKO,,,,,,,anonymous,EN,18.213,91.399,91.887,2,5,6,5,4,5,1.671,6.639,7.16,6,5,6,4,2,2,2,61.872,72.87,73.585,9,3,6,4,3,4,6,2.885,15.326,16.175,8,3,5,4,4,5,28.928,67.652,70.488,8,4,6,5,1,6,4.591,20.16,21.227,9,5,6,4,5,3.795,13.329,13.817,6,2,2,3,5,2,1.565,107.546,108.21,7,4,3,5,4,3.048,6.996,7.613,4,4,4,5,5,5,1.95,6.781,7.317,7,5,6,5,5,2,17.453,29.406,29.775,8,5,4,5,4,6,4.114,16.958,17.543,8,6,4,5,6,4,2.358,9.75,10.576,5,7,6,6,4,5,2.485,8.194,8.731,6,6,5,6,4,6,2.691,12.283,12.804,5,N/A,192866ae3258c063,,37SOB9Z0SSXRJ00VCHNYI56U3A93LC,12,1.6,noInterv
