StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,hb_1,hb_2,hb_3,hb_4,hb_check_5,nat_1,nat_2r,nat_3,nat_4,nat_5,nat_6r,medSkept_1,medSkept_2r,medSkept_3,medSkept_4,medSkept_5r,medSkept_6r,diseaseRare_1,diseaseRare_2,diseaseRare_3r,diseaseRare_4,diseaseRare_5r,diseaseSevere_1r,diseaseSevere_2,diseaseSevere_3,diseaseSevere_4r,diseaseSevere_5,vaccEff_1,vaccEff_2r,vaccEff_3r,vaccEff_4,vaccDanger_1,vaccDanger_2r,vaccDanger_3,vaccDanger_4r,vaccDanger_check_3,vaccTox_1r,vaccTox_2,vaccTox_3,vaccTox_4r,vaccStrain_1,vaccStrain_2r,vaccStrain_3,vaccStrain_4r,vaccStrain_5,vaccIntent_1r,vaccIntent_2,vaccIntent_3r,vaccIntent_4,vaccIntent_5r,parentExpert_1,parentExpert_2,parentExpert_3,parentExpert_4r,parentExpert_5r,infantImmLimCap_1,infantImmLimCap_2r,infantImmLimCap_3,infantImmLimCap_4,infantImmLimCap_5r,infantImmWeak_1,infantImmWeak_2,infantImmWeak_3,infantImmWeak_4r,infantImmWeak_5r,overpar_1,overpar_2,overpar_3,overpar_4r,overpar_5r,sex,age,race,religion,educ,income,parent,expecting,children,youngest_child,comments,workerId,assignmentId,hitId,study_time,payment
8/31/17 9:02,8/31/17 9:12,IP Address,8d355a65dc31bb9f,100,581,TRUE,8/31/17 9:12,R_3FIH1CpSNjXdnEf,,,,,,,anonymous,EN,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly disagree,Disagree,Agree,Agree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Male,42,Black or African American,Non-religious,Some Undergraduate Education,"$30,001 - $50,000",Yes,No,4,6 years old,Interesting,4fda58f786e0041e,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:03,8/31/17 9:12,IP Address,66ee59a7be9a5399,100,520,TRUE,8/31/17 9:12,R_2QoLmqQvlyOzRPG,,,,,,,anonymous,EN,Strongly disagree,Agree,Agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Somewhat disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Disagree,Somewhat disagree,Disagree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Male,30,Hispanic/Latino,Christian,Graduate or Professional Degree,"More than $100,000",Yes,No,1,2 years old,,bd4507c69b134941,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:06,8/31/17 9:12,IP Address,ad353b0554092506,100,364,TRUE,8/31/17 9:12,R_3KVkDA1zB8ll3ED,,,,,,,anonymous,EN,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Neither agree nor disagree,Disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree,Male,39,White,Non-religious,High School or Equivalent,"$20,000 - $30,0000",No,No,,,,5829919aff363a20,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:04,8/31/17 9:12,IP Address,29f46b6c40cd365e,100,511,TRUE,8/31/17 9:12,R_3HhKLf116UBd8Pa,,,,,,,anonymous,EN,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Strongly agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Male,27,White,Christian,Undergraduate Degree,"$70,001 - $100,000",Yes,No,1,2 years old,The questions are very clear.,73ab68a9b6d9a9e3,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:11,8/31/17 9:12,IP Address,8211b14c3a69dec1,100,90,TRUE,8/31/17 9:12,R_2Sf3VBOaPY89WsY,,,,,,,anonymous,EN,Agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Female,34,White,Christian,Undergraduate Degree,"Less than $20,000",Yes,Yes,2,3 years old,n,186ef8278d3755fe,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:03,8/31/17 9:12,IP Address,d8aec5a99b02c604,100,540,TRUE,8/31/17 9:12,R_2X4ojBdxocAFlIK,,,,,,,anonymous,EN,Somewhat disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Somewhat agree,Agree,Strongly disagree,Disagree,Agree,Disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Agree,Somewhat disagree,Disagree,Agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Female,52,White,Christian,Graduate or Professional Degree,"More than $100,000",Yes,No,1,Over 18 years old,no,546b08dddca37379,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:03,8/31/17 9:12,IP Address,7f4f767c6993c843,100,555,TRUE,8/31/17 9:12,R_1IiMMsvChCmT40A,,,,,,,anonymous,EN,Strongly disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Female,28,White,"Other, or prefer not to say",Undergraduate Degree,Prefer not to say,No,No,,,,56e56b32e0a29ba5,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:02,8/31/17 9:12,IP Address,2a703083afca31f1,100,638,TRUE,8/31/17 9:12,R_1KeavnyuQJ0TLJi,,,,,,,anonymous,EN,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Somewhat disagree,Strongly agree,Somewhat disagree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Female,26,White,Non-religious,Some Undergraduate Education,"$20,000 - $30,0000",Yes,No,1,3 years old,No,051f2a1d0d9d135f,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:02,8/31/17 9:12,IP Address,ce179d8f27fd421b,100,607,TRUE,8/31/17 9:12,R_3n7yMrp1eYSgBrn,,,,,,,anonymous,EN,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Agree,Strongly disagree,Disagree,Agree,Somewhat disagree,Strongly agree,Somewhat disagree,Agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree,Male,31,White,Christian,Undergraduate Degree,"$70,001 - $100,000",Yes,No,2,3 years old,,b632c464db42bfec,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:06,8/31/17 9:12,IP Address,919672e9565f171e,100,403,TRUE,8/31/17 9:12,R_yrRFXc9dOLfx3lD,,,,,,,anonymous,EN,Agree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Agree,Somewhat disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Somewhat agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Female,20,Asian,Christian,Undergraduate Degree,"$70,001 - $100,000",No,No,,,,ef5a44ba106cad04,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:01,8/31/17 9:12,IP Address,c858295c5bc3f22b,100,660,TRUE,8/31/17 9:12,R_1i3EFj3yhToHKLt,,,,,,,anonymous,EN,Agree,Disagree,Disagree,Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Strongly disagree,Strongly agree,Somewhat disagree,Agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Somewhat disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Male,30,White,Non-religious,Undergraduate Degree,"$30,001 - $50,000",No,No,,,No comments,12c175e14087ab37,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:04,8/31/17 9:12,IP Address,7c2cb6093b6e3ba8,100,488,TRUE,8/31/17 9:12,R_2xznqotxLAQ9KNL,,,,,,,anonymous,EN,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Male,56,White,Non-religious,Some Undergraduate Education,"Less than $20,000",No,No,,,,5a816cd8897be836,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:05,8/31/17 9:12,IP Address,1381942d947bd87b,100,443,TRUE,8/31/17 9:12,R_RfffelQrLouipGN,,,,,,,anonymous,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Disagree,Disagree,Somewhat agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Male,28,White,Non-religious,High School or Equivalent,"$30,001 - $50,000",No,No,,,,a83721717913d678,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:01,8/31/17 9:13,IP Address,2766e514a6ae8ed5,100,662,TRUE,8/31/17 9:13,R_1N4YM5tty5y7BB6,,,,,,,anonymous,EN,Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Male,41,White,Non-religious,Undergraduate Degree,"$30,001 - $50,000",Yes,No,3,1 year old,,8098e5cb91d72824,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:08,8/31/17 9:13,IP Address,bc43115ea9dc8ad5,100,280,TRUE,8/31/17 9:13,R_AMLVWkF3oataIoh,,,,,,,anonymous,EN,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Somewhat disagree,Disagree,Somewhat disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Somewhat disagree,Disagree,Disagree,Agree,Disagree,Somewhat agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Agree,Agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat agree,Agree,Female,42,White,Christian,Some Undergraduate Education,"$70,001 - $100,000",Yes,No,4,7 years old,,5d9bacafe3f6a4ff,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:03,8/31/17 9:13,IP Address,42697b6fb1ace13b,100,570,TRUE,8/31/17 9:13,R_1CsEJSO0qnHq9nS,,,,,,,anonymous,EN,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly agree,Disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Somewhat agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Male,35,White,Non-religious,Undergraduate Degree,"Less than $20,000",No,No,,,Nothing else to add.,ddfb833a76e74cc1,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:02,8/31/17 9:13,IP Address,2946c10b1372b574,100,618,TRUE,8/31/17 9:13,R_UoxM7FOZ1ubtj0Z,,,,,,,anonymous,EN,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Agree,Somewhat disagree,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Somewhat disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Disagree,Agree,Female,47,White,Christian,Some Undergraduate Education,"More than $100,000",Yes,No,3,12 years old,no,ad25710622ef38d6,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
8/31/17 9:03,8/31/17 9:13,IP Address,2d19d1ca8d180630,100,606,TRUE,8/31/17 9:13,R_2B2U2EZezKuA086,,,,,,,anonymous,EN,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Strongly disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Agree,Somewhat disagree,Strongly disagree,Somewhat agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Disagree,Agree,Agree,Male,26,White,Non-religious,Undergraduate Degree,"$20,000 - $30,0000",No,No,,,,9871f33987450682,,3EHIMLB7F7ZBY1NBXD3WHULXXSWH8Y,12,1.6
