"","X","workerId","gender","age","ethnicity","education","job","income","political_party","political_beliefs","comments_pretest","eligible_pretest","duration_pretest","hb_1_pretest","hb_2_pretest","hb_3_pretest","hb_4_pretest","hb_check_5_pretest","nat_1_pretest","nat_2r_pretest","nat_3_pretest","nat_4_pretest","nat_5_pretest","nat_6r_pretest","medSkept_1_pretest","medSkept_2r_pretest","medSkept_3_pretest","medSkept_4_pretest","medSkept_5r_pretest","medSkept_6r_pretest","diseaseRare_1_pretest","diseaseRare_2_pretest","diseaseRare_3r_pretest","diseaseRare_4_pretest","diseaseRare_5r_pretest","diseaseSevere_1r_pretest","diseaseSevere_2_pretest","diseaseSevere_3_pretest","diseaseSevere_4r_pretest","diseaseSevere_5_pretest","vaccEff_1_pretest","vaccEff_2r_pretest","vaccEff_3r_pretest","vaccEff_4_pretest","vaccEff_check_1_pretest","vaccDanger_1_pretest","vaccDanger_2r_pretest","vaccDanger_3_pretest","vaccDanger_4r_pretest","vaccDanger_check_3_pretest","vaccTox_1r_pretest","vaccTox_2_pretest","vaccTox_3_pretest","vaccTox_4r_pretest","vaccTox_check_6_pretest","vaccStrain_1_pretest","vaccStrain_2r_pretest","vaccStrain_3_pretest","vaccStrain_4r_pretest","vaccStrain_5_pretest","vaccIntent_1r_pretest","vaccIntent_2_pretest","vaccIntent_3r_pretest","vaccIntent_4_pretest","vaccIntent_5r_pretest","parentExpert_1_pretest","parentExpert_2_pretest","parentExpert_3_pretest","parentExpert_4r_pretest","parentExpert_5r_pretest","infantImmLimCap_1_pretest","infantImmLimCap_2r_pretest","infantImmLimCap_3_pretest","infantImmLimCap_4_pretest","infantImmLimCap_5r_pretest","infantImmWeak_1_pretest","infantImmWeak_2_pretest","infantImmWeak_3_pretest","infantImmWeak_4r_pretest","infantImmWeak_5r_pretest","overpar_1_pretest","overpar_2_pretest","overpar_3_pretest","overpar_4r_pretest","overpar_5r_pretest","is_parent_posttest","children_num_posttest","children_oldest_posttest","children_youngest_posttest","plan_parent_posttest","flushot_self_this_posttest","flushot_self_next_posttest","flushot_child_this_posttest","flushot_child_next_posttest","vax_delay_spread_posttest","vax_refuse_posttest","vax_exemption_posttest","attention_posttest","comments1_posttest","comments_posttest","condition","duration_posttest","hb_1_posttest","hb_2_posttest","hb_3_posttest","hb_4_posttest","hb_check_5_posttest","nat_1_posttest","nat_2r_posttest","nat_3_posttest","nat_4_posttest","nat_5_posttest","nat_6r_posttest","medSkept_1_posttest","medSkept_2r_posttest","medSkept_3_posttest","medSkept_4_posttest","medSkept_5r_posttest","medSkept_6r_posttest","diseaseRare_1_posttest","diseaseRare_2_posttest","diseaseRare_3r_posttest","diseaseRare_4_posttest","diseaseRare_5r_posttest","diseaseSevere_1r_posttest","diseaseSevere_2_posttest","diseaseSevere_3_posttest","diseaseSevere_4r_posttest","diseaseSevere_5_posttest","vaccEff_1_posttest","vaccEff_2r_posttest","vaccEff_3r_posttest","vaccEff_4_posttest","vaccEff_check_1_posttest","vaccDanger_1_posttest","vaccDanger_2r_posttest","vaccDanger_3_posttest","vaccDanger_4r_posttest","vaccDanger_check_3_posttest","vaccTox_1r_posttest","vaccTox_2_posttest","vaccTox_3_posttest","vaccTox_4r_posttest","vaccTox_check_6_posttest","vaccStrain_1_posttest","vaccStrain_2r_posttest","vaccStrain_3_posttest","vaccStrain_4r_posttest","vaccStrain_5_posttest","vaccIntent_1r_posttest","vaccIntent_2_posttest","vaccIntent_3r_posttest","vaccIntent_4_posttest","vaccIntent_5r_posttest","parentExpert_1_posttest","parentExpert_2_posttest","parentExpert_3_posttest","parentExpert_4r_posttest","parentExpert_5r_posttest","infantImmLimCap_1_posttest","infantImmLimCap_2r_posttest","infantImmLimCap_3_posttest","infantImmLimCap_4_posttest","infantImmLimCap_5r_posttest","infantImmWeak_1_posttest","infantImmWeak_2_posttest","infantImmWeak_3_posttest","infantImmWeak_4r_posttest","infantImmWeak_5r_posttest","overpar_1_posttest","overpar_2_posttest","overpar_3_posttest","overpar_4r_posttest","overpar_5r_posttest"
"11",11,"cebaa33da6185e9c",2,38,1,6,1,6,1,58,"no","true",308,2,0,1,0,1,1,-1,0,-1,-1,-1,2,-2,-1,-1,2,-1,-1,1,1,-1,-1,2,2,3,2,3,2,1,2,3,-3,-2,-1,-1,-2,-1,-1,-2,1,-1,2,1,-2,-1,-1,-2,2,3,-1,2,3,2,2,-2,2,-1,-2,-2,-1,-2,-2,1,-2,-1,-2,-1,-2,-1,-2,-1,-3,1,5,18,13,NA,0,0,0,1,0,0,0,1,"no","no","diseaseRisk",503,1,-2,-1,-2,1,-1,-2,1,-2,-2,1,3,-1,-1,-1,2,-2,-3,-2,-3,-3,-2,3,3,2,3,3,2,2,3,3,-3,-3,-1,-1,-2,-1,-2,-3,1,-1,2,-1,-2,-1,2,2,3,3,1,3,3,2,3,1,2,-2,2,1,-2,1,-1,1,1,1,1,-1,3,-2,-2,-1,-3
"12",12,"a3b878f7a8e9e88c",2,33,1,4,4,5,1,93,"","true",334,1,-1,1,0,1,1,0,0,-1,-2,0,-1,-1,1,0,1,0,0,-1,0,-1,-1,1,1,1,0,0,2,-1,0,1,-3,-1,-1,0,-1,-1,0,-1,0,0,2,1,0,0,1,0,2,3,3,3,3,1,1,-1,1,-1,0,-1,0,0,-1,1,0,-1,0,-1,1,2,0,-1,-2,1,2,8,5,NA,0,0,0,0,0,0,0,1,"","","diseaseRisk",299,1,0,0,0,1,1,0,0,0,-2,1,0,-1,0,0,0,0,-1,0,-1,-1,-1,2,1,3,3,3,1,1,1,2,-3,-1,-1,0,-3,-1,0,0,0,0,2,0,0,0,0,0,2,3,1,3,3,1,0,0,1,-1,0,0,0,0,0,1,0,0,0,-1,2,1,1,-1,-1
"13",13,"209095032e4791b9",1,24,1,4,1,4,11,50,"Thank you.","true",298,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,1,-1,1,0,1,-1,-1,0,-2,-1,-1,2,2,2,2,2,2,0,2,1,-3,-2,-2,-2,-2,-1,-2,-2,-1,-2,2,-2,-2,-2,-2,-1,2,2,1,2,2,-1,-2,-2,-1,-1,2,1,1,-1,1,2,2,2,1,0,1,0,2,-2,-1,0,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,1,"Thank you.","","noInterv",269,1,0,1,0,1,0,-3,-1,-3,-2,-2,3,-2,-1,-1,0,-2,-2,0,-2,-1,-1,2,2,2,3,3,2,1,2,2,-3,-2,-3,-1,-3,-1,1,-1,-1,-2,2,-2,-2,-2,-2,-2,3,3,1,3,3,0,1,-2,-1,-3,0,0,-1,0,0,2,2,0,1,-1,1,1,-1,1,-1
"14",14,"afa68147f6ceeb4d",1,29,1,6,1,5,2,4,"","true",298,1,-3,-2,-3,1,-3,-3,-3,-3,-2,-1,1,-2,2,-3,-2,-3,-2,-2,-1,-1,-1,3,3,3,3,3,3,3,3,3,-3,-3,-3,-2,-3,-1,-3,-3,-3,-3,2,-2,-3,-3,-2,-3,3,3,3,3,3,-2,-2,-2,-3,-3,0,-2,-3,2,-1,-3,-1,-1,-2,-3,-2,-2,-2,-2,-3,0,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,1,"","","noInterv",269,1,-3,1,-3,1,-3,-3,-3,-3,-2,-1,1,-2,0,-3,-3,-3,-2,-2,2,-2,-3,3,3,3,3,3,3,3,3,3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,2,-3,-3,-2,-2,-3,3,3,3,3,3,-2,-1,-3,-3,-3,2,-1,1,1,-2,-1,-1,-2,-3,-1,-2,-2,-2,-3,-3
"15",15,"06c9588a784549b4",1,30,1,4,1,6,1,87,"","true",377,1,-3,1,-2,1,-1,-2,-2,-3,-3,-2,2,-3,2,-2,3,-1,-2,1,-2,1,2,2,2,2,3,3,2,3,3,3,-3,-3,-2,-2,-3,-1,2,-3,-3,-2,2,-3,-2,-3,-2,-2,3,-3,3,3,3,-2,1,-3,-1,-2,1,1,-1,1,0,-1,1,2,1,1,1,1,-2,1,-3,1,1,9,NA,NA,1,1,1,1,0,0,0,1,"","","noInterv",604,2,-2,0,-2,1,1,-2,-2,2,-3,-1,2,-3,-2,-1,2,-2,-1,1,-1,-2,1,2,-2,1,2,2,2,2,3,3,-3,-3,-2,-3,-2,-1,-1,-3,-2,-3,2,-2,-2,-2,2,-2,3,3,3,3,3,2,-2,-2,-2,-2,1,1,-1,-1,-1,-2,-2,-2,2,-1,-1,1,-1,-1,-3
"16",16,"57919b67922f60dd",2,24,1,3,1,3,2,10,"","true",380,1,-1,2,1,1,1,-1,1,-1,-3,1,2,-1,1,-1,2,1,-2,-1,-2,-1,-1,-1,1,-1,2,-1,2,0,2,2,-3,-3,-2,-2,-2,-1,-3,-2,-1,-2,2,-1,-1,-1,-1,0,2,2,1,2,3,-2,-3,-3,-3,-3,2,2,0,2,1,2,1,1,1,1,-1,1,-2,-2,-3,0,NA,NA,NA,3,0,1,NA,NA,NA,NA,NA,1,"","None","diseaseRisk",435,1,1,1,-1,1,-1,-1,1,-2,-3,1,1,-2,1,1,2,-3,-1,1,3,0,-1,2,2,1,3,3,2,2,2,3,-3,-2,-1,-2,-2,-1,-3,-3,-1,-3,2,-1,-1,-1,0,0,3,3,2,3,3,-3,-3,-3,-3,-3,1,2,-2,2,1,1,1,1,1,0,1,2,-1,2,-1
"17",17,"fb47302dbd3a4436",2,30,5,4,1,2,2,22,"","true",304,-2,-2,-1,-2,1,-2,0,-2,-3,-3,-2,2,-2,1,1,2,-2,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,1,2,-3,-3,-1,-1,-2,-1,-1,-2,-1,-2,2,-1,-2,-2,1,-1,2,3,-2,3,3,1,2,-2,1,-2,2,2,2,2,2,1,1,1,1,2,1,1,-1,-1,-1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,"","","diseaseRisk",349,-1,-1,-2,-2,1,-2,-1,-1,-2,-2,-2,3,-1,-2,-2,3,-2,-1,-1,-1,-2,-1,2,2,2,2,2,1,-1,1,2,-3,-3,-1,0,-2,-1,-1,-2,-1,-1,2,1,-2,1,1,1,2,2,-2,3,2,1,1,1,0,-2,2,1,-1,1,2,1,1,2,1,1,1,1,0,1,-1
"18",18,"ba098290e5f9e528",1,52,2,3,1,6,9,45,"","true",288,1,1,0,1,1,1,0,1,-1,0,1,0,0,0,0,2,-1,0,0,-1,-1,0,1,1,1,2,1,1,0,2,2,-3,-2,2,0,-1,-1,-2,-2,-2,-2,2,-1,-2,-2,0,-1,2,1,2,1,2,0,0,1,0,0,0,1,0,-1,0,-2,0,0,2,-1,0,1,0,2,-1,1,4,31,15,NA,0,0,0,0,0,0,0,1,"","","diseaseRisk",374,1,0,1,0,1,1,-1,0,1,0,0,0,-1,0,0,0,-1,-2,0,-1,-2,0,3,2,2,2,2,1,-1,1,1,-3,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,0,0,0,-2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19",19,"e8dc01a055070eff",2,41,1,3,1,6,2,0,"no","true",350,1,1,1,1,1,1,-1,0,0,-3,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-3,-1,-1,0,-1,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,1,2,1,2,1,1,-1,1,-1,-1,2,1,1,2,2,1,1,1,-1,1,1,1,-1,-2,-2,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,1,"","","noInterv",1078,0,1,0,1,1,1,-1,-1,0,-3,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-3,-1,-1,0,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,2,2,2,-1,1
"20",20,"32a80589031f937f",2,22,1,3,5,2,9,38,"n/a","true",303,-1,-2,-1,-2,1,-2,-3,-3,-3,-3,-1,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,3,3,3,3,3,3,3,3,3,3,-3,-3,-3,-2,-3,-1,-2,-3,-3,-3,2,-1,-3,-3,-1,-3,3,3,3,3,3,-2,-1,-3,-1,-3,3,1,-2,1,2,-1,1,1,1,2,-1,2,-1,-1,-1,1,2,3,1,NA,0,1,1,1,0,0,0,1,"","","diseaseRisk",243,-3,-3,-2,-2,1,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,3,3,3,3,3,3,3,3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,2,-2,-3,-3,2,-3,3,3,3,3,3,-1,-2,-3,-1,-2,3,3,0,1,1,1,3,2,2,3,1,2,-2,1,-1
"21",21,"d038c2f890b54205",2,30,1,3,2,2,2,0,"","true",406,3,1,2,2,1,3,-1,2,2,3,3,3,1,3,1,3,-1,1,1,2,-1,1,1,-1,1,-2,1,1,-3,1,-1,-3,-2,0,-1,-1,-1,0,-1,1,1,2,1,1,-2,1,1,2,1,-1,2,2,2,2,2,1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-1,-2,-3,-1,0,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,1,"","","diseaseRisk",439,2,2,2,2,1,3,1,2,-2,2,3,3,2,3,2,3,-1,-1,-1,-1,-1,-1,1,-2,2,-1,-1,1,-3,1,0,-3,-1,-1,-1,-1,-1,1,0,1,1,2,1,-1,-1,1,1,2,1,-2,1,2,2,1,-1,1,-1,-1,-2,-1,-1,-2,-1,-2,-2,-2,-2,1,0,-2,-1,-3
"22",22,"be81423187677ce6",2,47,1,4,1,3,1,82,"each case is different.  I do vaccines but space them out - not 4-5 at one time. ","true",301,1,1,0,0,1,0,-1,-1,-1,-3,-1,0,-3,3,0,3,-2,-2,-2,-1,-3,-2,1,2,2,1,0,3,0,2,2,-3,1,-1,2,-1,-1,0,1,1,-1,2,1,0,1,1,1,-2,3,-3,2,3,2,1,1,-1,-1,0,-1,2,0,-1,0,0,-1,-1,-1,1,1,2,-1,1,1,3,15,11,NA,0,0,0,0,1,1,0,1,"this is a very interesting topic that each parent should have their own say in over their children.  I had my kids vaccinated but I changed up the schedule so they never had more than 2-3 shots at a time. ","I didn't refuse but I definitely delayed and changed their schedule. ","noInterv",513,-1,-1,0,0,1,2,-1,1,0,-3,0,3,1,-3,1,3,1,-3,-2,3,-2,-1,1,3,3,3,3,3,2,1,2,-3,0,2,1,0,-1,1,0,1,1,2,1,-1,-1,-1,2,1,3,-2,2,3,1,0,1,-1,-2,1,0,1,1,0,3,0,0,-1,-1,1,3,3,1,1
